mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,ablation,split_seed,lambda_cost,train_fraction,train_query_count,d2_beta
0.7310214261248275,0.1655265837424138,0.7310344827586207,0.05783563134101163,semantic_embedding_kmeans,32,0.698261363115166,0.7664104327235064,1.0570820438995954,0.2782577135057644,1.564781272973117,5.0,4.528496992955504,k_lambda,,0.05,,,
0.8965417053173277,6.304549913793453e-06,0.896551724137931,0.04437934187897868,flat_routecode_utility_oracle,32,0.8706786519035841,0.9190430626772111,3.79882725195582,0.9999725103958104,1.8050228139820867,5.0,4.489265911610177,k_lambda,,0.05,,,
0.8965480098672413,0.0,0.896551724137931,0.016452723857590945,regret_routecode_utility_oracle,32,0.8689613044347823,0.9206858357454161,3.798931683084131,1.0,1.4213032719447658,5.0,3.837336036036502,k_lambda,,0.05,,,
0.724126255307069,0.17242175456017242,0.7241379310344828,0.05171877200836882,d2_embedding_centroid,32,0.6852896536169375,0.7560664124407327,0.9428676307742277,0.24819283667896033,1.695854507019201,5.0,3.6904488784385583,k_lambda,,0.05,,,
0.732748260263793,0.16379974960344829,0.7327586206896551,0.04589251565062683,semantic_embedding_kmeans,64,0.6973597449152522,0.7664121847630386,1.085686026739127,0.2857871942192237,1.8624651893087785,6.0,5.320737138264149,k_lambda,,0.05,,,
0.8965479553839655,5.448327586214711e-08,0.896551724137931,0.016694062835687553,flat_routecode_utility_oracle,64,0.869780902797944,0.9206864057524009,3.7989307806009975,0.9999997624376511,1.3397957216565284,6.0,5.002579423322379,k_lambda,,0.05,,,
0.8965480098672413,0.0,0.896551724137931,0.016452723857590945,regret_routecode_utility_oracle,64,0.8697811560432479,0.9189620310967564,3.798931683084131,1.0,1.3682142677437776,6.0,4.5728848988607185,k_lambda,,0.05,,,
0.7189519959476725,0.17759601391956897,0.7189655172413794,0.059893887695515395,d2_embedding_centroid,64,0.680115297016597,0.7552455741393124,0.8571590947986052,0.2256316160186191,1.8476884114369132,6.0,4.969018162860168,k_lambda,,0.05,,,
0.7258533856437931,0.17069462422344825,0.7258620689655172,0.03846361949110532,semantic_embedding_kmeans,128,0.6904657419362392,0.7586989431799676,0.9714765199538711,0.255723608897643,1.8583030027085072,7.0,5.994277058094274,k_lambda,,0.05,,,
0.8965479816560344,2.8211206896800666e-08,0.896551724137931,0.016577688146825722,flat_routecode_utility_oracle,128,0.8741340526988686,0.9206853326097759,3.7989312157822304,0.9999998769912334,1.348800481873848,7.0,5.7460469702524195,k_lambda,,0.05,,,
0.8965480098672413,0.0,0.896551724137931,0.016452723857590945,regret_routecode_utility_oracle,128,0.8706864845344591,0.9267633900786876,3.798931683084131,1.0,1.3682142677437776,7.0,5.043947748846303,k_lambda,,0.05,,,
0.7172270196299999,0.1793209902372414,0.7172413793103448,0.06360760298239292,d2_embedding_centroid,128,0.6801129807858233,0.7535196478284589,0.8285858856663947,0.2181102359265682,1.935877809404258,7.0,5.261360289518844,k_lambda,,0.05,,,
0.6671685225677587,0.22937577302879314,0.6672413793103448,0.16136301943110865,best_single,,0.6326832880980302,0.7033828396383923,0.0,0.0,0.0,0.0,,k_lambda,,0.1,,,
0.7447844307793103,0.15175986481724138,0.7448275862068966,0.09558058530974257,semantic_embedding_kmeans,4,0.7085773776398319,0.7836161252216508,1.2851169100286925,0.3383788409153771,0.9211426316005453,2.0,1.8822260009593406,k_lambda,,0.1,,,
0.7706769177151723,0.1258673778813793,0.7706896551724138,0.028210903855763695,flat_routecode_utility_oracle,4,0.736192813419888,0.8043409044438578,1.713828930163515,0.4512612373165513,1.503659174203248,2.0,1.851650755451688,k_lambda,,0.1,,,
0.8758566475620689,0.02068764803448276,0.8758620689655172,0.012007317358896529,regret_routecode_utility_oracle,4,0.8473654108911551,0.9009001821918277,3.455330801791157,0.9098089228809444,1.3271196815516482,2.0,1.3271196815516484,k_lambda,,0.1,,,
0.7465080508453449,0.15003624475120692,0.746551724137931,0.0967275520432445,d2_embedding_centroid,4,0.7120212881595216,0.7758199004454956,1.3136555607301488,0.34589323549713696,0.9142202031969058,2.0,1.8130667921964887,k_lambda,,0.1,,,
0.7448022505355172,0.15174204506103448,0.7448275862068966,0.05611341226575527,semantic_embedding_kmeans,8,0.7059645973186336,0.7792883809255042,1.2854119586928348,0.3384565289639951,1.583660429883842,3.0,2.943563075727691,k_lambda,,0.1,,,
0.8499825528036207,0.04656174279293103,0.85,0.038642028018776864,flat_routecode_utility_oracle,8,0.8206735052659612,0.8741222979235819,3.026923308121994,0.797006710089272,2.0759143136505744,3.0,2.8549888053515176,k_lambda,,0.1,,,
