mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,sensitivity,variant
0.7288289392216105,0.15052862464379077,0.7362068965517241,0.0034979555734537104,kNN,,0.6869231730049893,0.7641318845699517,1.0,0.444003979572785,1.563657758105561,0.0,,price_ratio,price_ratio_exponent_2
0.7224137931034482,0.156943770761953,0.7224137931034482,0.0,d2_embedding_centroid,16,0.685301724137931,0.754353448275862,0.9466330626949467,0.42030884703173,0.9032529465563457,4.0,3.082263934065259,price_ratio,price_ratio_exponent_2
0.6672413793103448,0.2293103448275862,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,model_pool,full
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.08625569658638482,kNN,,0.7017241379310345,0.7698706896551724,1.0,0.30075187969924816,2.019798018216054,0.0,,model_pool,full
0.7362068965517241,0.16034482758620688,0.7362068965517241,0.060480588637286795,d2_embedding_centroid,6,0.6931034482758621,0.7672413793103449,1.0,0.30075187969924816,1.5737307889247047,2.584962500721156,1.8245497049633213,model_pool,full
0.6672413793103448,0.20689655172413793,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,model_pool,top_4
0.7448275862068966,0.12931034482758622,0.7448275862068966,0.07786449139014942,kNN,,0.7051724137931035,0.7767672413793103,1.0,0.37500000000000033,1.7633132242045317,0.0,,model_pool,top_4
0.7396551724137931,0.13448275862068965,0.7396551724137931,0.07477410676079747,d2_embedding_centroid,4,0.7008189655172413,0.7715948275862069,0.9333333333333326,0.35000000000000003,1.5276687570577185,2.0,1.9683200683498223,model_pool,top_4
0.6086206896551725,0.2620689655172414,0.6086206896551725,0.0,best_single,,0.5671551724137931,0.6509051724137931,0.0,0.0,0.0,0.0,,model_pool,drop_dominant
0.7206896551724138,0.15,0.7206896551724138,0.04294384388937017,kNN,,0.6844827586206896,0.753448275862069,1.0,0.42763157894736825,1.7138462345448051,0.0,,model_pool,drop_dominant
0.7275862068965517,0.14310344827586208,0.7275862068965517,0.0,d2_embedding_centroid,5,0.6913793103448276,0.7586206896551724,1.0615384615384618,0.45394736842105254,0.9277575763543451,2.321928094887362,1.867628677024442,model_pool,drop_dominant
0.6672413793103448,0.1482758620689655,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,model_pool_composition,qwen_pair
0.7379310344827587,0.07758620689655173,0.7379310344827587,0.10176861605331768,kNN,,0.7025431034482759,0.7741379310344828,1.0,0.476744186046512,0.9277575763543451,0.0,,model_pool_composition,qwen_pair
0.743103448275862,0.07241379310344828,0.743103448275862,0.09584586817119409,d2_embedding_centroid,2,0.7068965517241379,0.7759482758620689,1.0731707317073162,0.5116279069767442,0.9211426316005453,1.0,0.9211426316005453,model_pool_composition,qwen_pair
0.6672413793103448,0.15517241379310345,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,model_pool_composition,qwen_deepseek_llama
0.6551724137931034,0.16724137931034483,0.6551724137931034,0.12257992324531042,kNN,,0.6197844827586206,0.6948275862068966,0.0,-0.07777777777777753,1.2368521002572392,0.0,,model_pool_composition,qwen_deepseek_llama
0.696551724137931,0.12586206896551724,0.696551724137931,0.09734739553838871,d2_embedding_centroid,3,0.6655172413793103,0.7310344827586207,0.0,0.1888888888888888,0.9159798091406801,1.584962500721156,1.5364168650854015,model_pool_composition,qwen_deepseek_llama
0.6137931034482759,0.12931034482758622,0.6137931034482759,0.0,best_single,,0.5758620689655173,0.6535344827586206,0.0,0.0,0.0,0.0,,model_pool_composition,compact_pair
0.6293103448275862,0.11379310344827587,0.6293103448275862,0.1630926144067574,kNN,,0.5870258620689655,0.6655172413793103,1.0,0.11999999999999983,0.9699330994730759,0.0,,model_pool_composition,compact_pair
0.6103448275862069,0.13275862068965516,0.6103448275862069,0.16584739323810596,d2_embedding_centroid,2,0.5646120689655172,0.6448275862068965,-0.22222222222222301,-0.026666666666666724,0.9211426316005453,1.0,0.9211426316005453,model_pool_composition,compact_pair
0.6086206896551725,0.17758620689655172,0.6086206896551725,0.0,best_single,,0.5671551724137931,0.6509051724137931,0.0,0.0,0.0,0.0,,model_pool_auto,complementary_size_2
0.7310344827586207,0.05517241379310345,0.7310344827586207,0.0,kNN,,0.6939224137931035,0.7604310344827585,1.0,0.6893203883495145,0.9775741056965868,0.0,,model_pool_auto,complementary_size_2
0.7293103448275862,0.056896551724137934,0.7293103448275862,0.0,d2_embedding_centroid,2,0.6913793103448276,0.7620689655172413,0.9859154929577459,0.6796116504854365,0.9211426316005453,1.0,0.9211426316005453,model_pool_auto,complementary_size_2
0.6672413793103448,0.08448275862068966,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,model_pool_auto,dominated_size_2
0.65,0.10172413793103448,0.65,0.20084150169553902,kNN,,0.6137931034482759,0.6888362068965517,-9.999999999999615,-0.2040816326530603,0.7114618586402304,0.0,,model_pool_auto,dominated_size_2
0.6672413793103448,0.08448275862068966,0.6672413793103448,0.16136301943110865,d2_embedding_centroid,2,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,1.0,0.9211426316005453,model_pool_auto,dominated_size_2
0.6086206896551725,0.2293103448275862,0.6086206896551725,0.0,best_single,,0.5671551724137931,0.6509051724137931,0.0,0.0,0.0,0.0,,model_pool_auto,complementary_size_3
0.7224137931034482,0.11551724137931034,0.7224137931034482,0.07608282094151735,kNN,,0.685301724137931,0.7560775862068965,1.0,0.49624060150375904,1.5521287409667637,0.0,,model_pool_auto,complementary_size_3
0.7310344827586207,0.10689655172413794,0.7310344827586207,0.0,d2_embedding_centroid,3,0.6948275862068966,0.7620689655172413,1.0757575757575764,0.5338345864661653,0.9177200489448892,1.584962500721156,1.5800650803967935,model_pool_auto,complementary_size_3
0.6672413793103448,0.14310344827586208,0.6672413793103448,0.16136301943110865,best_single,,0.6327586206896552,0.7034482758620689,0.0,0.0,0.0,0.0,,model_pool_auto,dominated_size_3
0.653448275862069,0.15689655172413794,0.653448275862069,0.17350746872511352,kNN,,0.6172413793103448,0.6896551724137931,0.0,-0.09638554216867411,1.2070594671726302,0.0,,model_pool_auto,dominated_size_3
