mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,scenario,scenario_type,n_train_queries,n_test_queries,n_models
0.4925074925074925,0.44955044955044954,0.4925074925074925,0.03259863743592041,routecode_predicted_labels,16,0.46548451548451547,0.5222027972027972,0.0,-0.7928286852589644,2.581876422521845,4.0,3.3225725052807196,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
0.942057942057942,0.0,0.942057942057942,0.021781523159255634,query_oracle,20,0.9280219780219781,0.955044955044955,0.0,1.0,2.6803389840847394,4.321928094887363,2.6803389840847394,leave_domain_out:broad_knowledge,leave_one_domain_out,13038,1001,20
0.705,0.23,0.705,0.08845075013805984,best_single,,0.655,0.78,0.0,0.0,0.0,0.0,,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.705,0.23,0.705,0.08845075013805984,dataset_label_lookup,1,0.655,0.78,0.0,0.0,0.0,0.0,0.0,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.705,0.23,0.705,0.08845075013805984,predicted_topic_lookup,1,0.655,0.78,0.0,0.0,0.0,0.0,0.0,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.72,0.215,0.72,0.07677002477449703,embedding_cluster_lookup,16,0.662375,0.77,0.0,0.06521739130434785,2.0674813016156133,4.0,3.477624127434623,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.67,0.265,0.67,0.06844415766705461,kNN,,0.605,0.7354999999999998,0.0,-0.15217391304347785,2.896982853585338,0.0,,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.505,0.43,0.505,0.017929793443578382,logistic_embedding_router,,0.45,0.5676249999999999,0.0,-0.8695652173913038,2.1275724160724083,0.0,,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.665,0.27,0.665,0.029474515056451725,routecode_predicted_labels,16,0.612375,0.7252499999999998,0.0,-0.17391304347826048,2.185473213398784,4.0,3.2671747660149757,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.935,0.0,0.935,0.02263314183592053,query_oracle,20,0.897375,0.96,0.0,1.0,2.5774359756224063,4.321928094887363,2.5774359756224063,domain_homogeneous:broad_knowledge,domain_homogeneous,601,200,20
0.7673130193905817,0.2257617728531856,0.7673130193905817,0.07998288458898324,best_single,,0.7326869806094183,0.7991689750692521,0.0,0.0,0.0,0.0,,cluster_held_out:0,cluster_held_out,13317,722,20
0.7673130193905817,0.2257617728531856,0.7673130193905817,0.0799005510386981,dataset_label_lookup,8,0.7333448753462604,0.7977839335180056,0.0,0.0,0.19593984961848357,3.0,0.27180526893215196,cluster_held_out:0,cluster_held_out,13317,722,20
0.6163434903047091,0.3767313019390582,0.6163434903047091,0.06734300821244053,predicted_topic_lookup,11,0.5803324099722992,0.6454293628808865,0.0,-0.6687116564417179,1.2983177438686937,3.4594316186372973,2.151035761616687,cluster_held_out:0,cluster_held_out,13317,722,20
0.610803324099723,0.38227146814404434,0.610803324099723,0.08265920692224162,embedding_cluster_lookup,16,0.5734072022160664,0.6475415512465375,0.0,-0.6932515337423312,0.015148961925075382,4.0,0.05399348701582142,cluster_held_out:0,cluster_held_out,13317,722,20
0.5637119113573407,0.4293628808864266,0.5637119113573407,0.0687626357395463,kNN,,0.524792243767313,0.5984072022160665,0.0,-0.9018404907975465,2.3989157597422794,0.0,,cluster_held_out:0,cluster_held_out,13317,722,20
0.14958448753462603,0.8434903047091413,0.14958448753462603,0.0021105789505097526,logistic_embedding_router,,0.12465373961218837,0.1780124653739612,0.0,-2.7361963190184055,1.7299662003401097,0.0,,cluster_held_out:0,cluster_held_out,13317,722,20
0.6080332409972299,0.3850415512465374,0.6080332409972299,0.06367112146551597,routecode_predicted_labels,16,0.5789473684210527,0.6426592797783933,0.0,-0.7055214723926383,1.3301700618586267,4.0,1.5423763816327318,cluster_held_out:0,cluster_held_out,13317,722,20
0.9930747922437673,0.0,0.9930747922437673,0.06351341602730723,query_oracle,20,0.9868074792243767,0.9979570637119114,0.0,1.0,2.418987332403387,4.321928094887363,2.418987332403387,cluster_held_out:0,cluster_held_out,13317,722,20
0.7037037037037037,0.21118233618233617,0.7037037037037037,0.09736108743893515,best_single,,0.6866096866096866,0.7209045584045584,0.0,0.0,0.0,0.0,,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
0.7172364672364673,0.19764957264957264,0.7172364672364673,0.08254016162267074,dataset_label_lookup,18,0.7035167378917379,0.7363158831908831,19.00000000000109,0.06408094435075898,2.5145287161273346,4.169925001442312,3.8789693825039913,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
0.7168803418803419,0.198005698005698,0.7168803418803419,0.081514900563357,predicted_topic_lookup,18,0.702394943019943,0.7366542022792023,18.500000000001013,0.06239460370994936,2.5327048303409874,4.169925001442312,3.9016031618073623,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
0.7222222222222222,0.19266381766381765,0.7222222222222222,0.07816589222034023,embedding_cluster_lookup,16,0.7067040598290599,0.7363158831908831,26.000000000001403,0.08768971332209093,2.607028929515041,4.0,3.890203506504081,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
0.7044159544159544,0.21047008547008547,0.7044159544159544,0.0708874776161125,kNN,,0.689627849002849,0.7207977207977208,1.0,0.0033726812816187,3.221632425085219,0.0,,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
0.5117521367521367,0.4031339031339031,0.5117521367521367,0.021118505528360827,logistic_embedding_router,,0.49750712250712253,0.5320690883190883,-269.50000000001506,-0.9089376053962903,2.138093606220454,0.0,,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
0.61502849002849,0.29985754985754987,0.61502849002849,0.07173064968559989,routecode_predicted_labels,16,0.5982549857549858,0.6337517806267806,-124.50000000000693,-0.41989881956155156,2.6548214399580368,4.0,3.5219364511380524,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
0.9148860398860399,0.0,0.9148860398860399,0.022562157048842447,query_oracle,19,0.904727564102564,0.927199074074074,296.5000000000164,1.0,2.50003611619587,4.247927513443585,2.50003611619587,model_pool_holdout:DeepHermes-3-Llama-3-8B-Preview,model_pool_holdout,8425,2808,19
