mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,transfer_scenario,source_family,source_model_count,target_model_count,source_models,target_models,source_target_overlap,d2_alpha,d2_beta,train_source_oracle_gap,train_target_oracle_gap,target_oracle_gap,target_dominance_ratio,target_winner_entropy,target_train_query_count,same_budget_as_direct_retraining
0.6663105413105413,0.16809116809116809,0.6663105413105413,0.09522855334631654,target_direct_logistic,,0.6461449430199431,0.6810986467236467,0.02469135802469383,0.004219409282700844,0.05792413909667175,0.0,,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,,,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,True
0.6655982905982906,0.16880341880341881,0.6655982905982906,0.09575280560068085,target_direct_svm,,0.6516737891737892,0.683440170940171,0.0,0.0,0.0,0.0,,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,,,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,True
0.6655982905982906,0.16880341880341881,0.6655982905982906,0.09575280560068085,target_direct_knn,,0.6464476495726496,0.6800480769230769,0.0,0.0,0.0,0.0,,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,,,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,True
0.6780626780626781,0.15633903133903135,0.6780626780626781,0.08818740690668185,target_direct_mlp,,0.6595263532763532,0.695343660968661,0.4320987654320997,0.07383966244725754,0.8851071812509541,0.0,,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,,,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,True
0.665954415954416,0.16844729344729345,0.665954415954416,0.09557559234399235,target_direct_gradient_boosting,,0.6481481481481481,0.6884081196581197,0.012345679012346915,0.002109704641350422,0.05274768708853263,0.0,,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,,,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,True
0.6969373219373219,0.13746438746438747,0.6969373219373219,0.0907133165454976,target_d2_native,16,0.6788906695156695,0.7151353276353276,1.0864197530864208,0.1856540084388187,1.2973548045530625,4.0,3.27669340860717,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,1.0,0.0,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,True
0.698005698005698,0.1363960113960114,0.698005698005698,0.08747956324843575,source_d2_label_transfer,16,0.6858974358974359,0.7108262108262108,1.1234567901234576,0.19198312236286932,1.1987037802798595,4.0,3.6035923605303273,dominated_to_remaining_top_s4_t4,dominated,4,4,Qwen3-8B;MiMo-7B-RL-0530;OpenThinker3-7B;DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414;MiniCPM4.1-8B,0,1.0,0.0,0.08890207715133525,0.1457566765578635,0.15313390313390318,0.8311965811965812,0.8809007584226928,8425,True
0.6328347578347578,0.23824786324786323,0.6328347578347578,0.0,target_best_single,,0.616755698005698,0.6480324074074073,0.0,0.0,0.0,0.0,,top_to_next_s4_t8,top,4,8,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414,MiniCPM4.1-8B;Intern-S1-mini;cogito-v1-preview-llama-8B;internlm3-8b-instruct;Fin-R1;gemma-2-9b-it;DeepSeek-R1-Distill-Qwen-7B;Qwen2.5-Coder-7B-Instruct,0,,,0.13080118694362008,0.22931750741839763,0.2382478632478633,0.7617521367521367,1.27605912662847,8425,False
0.6823361823361823,0.18874643874643873,0.6823361823361823,0.04133946867625998,target_kNN,,0.6629985754985755,0.6976851851851852,1.0,0.20777279521674125,2.3651355035867323,0.0,,top_to_next_s4_t8,top,4,8,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414,MiniCPM4.1-8B;Intern-S1-mini;cogito-v1-preview-llama-8B;internlm3-8b-instruct;Fin-R1;gemma-2-9b-it;DeepSeek-R1-Distill-Qwen-7B;Qwen2.5-Coder-7B-Instruct,0,,,0.13080118694362008,0.22931750741839763,0.2382478632478633,0.7617521367521367,1.27605912662847,8425,False
0.6413817663817664,0.2297008547008547,0.6413817663817664,0.00487547002101871,target_direct_logistic,,0.622676282051282,0.6556623931623932,0.1726618705035966,0.035874439461883276,0.3931495898186352,0.0,,top_to_next_s4_t8,top,4,8,Qwen3-8B;DeepSeek-R1-0528-Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;GLM-Z1-9B-0414,MiniCPM4.1-8B;Intern-S1-mini;cogito-v1-preview-llama-8B;internlm3-8b-instruct;Fin-R1;gemma-2-9b-it;DeepSeek-R1-Distill-Qwen-7B;Qwen2.5-Coder-7B-Instruct,0,,,0.13080118694362008,0.22931750741839763,0.2382478632478633,0.7617521367521367,1.27605912662847,8425,True
