mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,ablation,split_seed,lambda_cost,train_fraction,train_query_count
0.5583414669443936,0.012851797858769031,0.770215862777727,0.2452420258737104,flat_routecode_utility_oracle,16,0.5400417689259345,0.5770556998456844,1.0001351316291325,0.9641036626183166,2.249141709997551,4.0,3.918795575473666,k_lambda,,0.7,,
0.558453676490602,0.012739588312560892,0.7535711660739353,0.22584611151623188,d2_embedding_centroid,16,0.541060506989306,0.5773431841780013,1.0004602571107537,0.9644170749340412,2.2153936918813217,4.0,3.7519051098411724,k_lambda,,0.7,,
0.5588986741027024,0.012294590700460246,0.7471654970193691,0.2179165485064549,semantic_embedding_kmeans,32,0.5409664474898394,0.5788447227050328,1.0017496310351943,0.965659997098982,2.1708657156302826,5.0,4.786714668299419,k_lambda,,0.7,,
0.5605887125326983,0.010604552270464414,0.7742651708660316,0.24732789121158108,flat_routecode_utility_oracle,32,0.5405051422805773,0.5822312219356284,1.0066464921051976,0.9703804409106426,2.248949807093585,5.0,4.8544295422498855,k_lambda,,0.7,,
0.556400798845988,0.014792465957174738,0.7690696217626546,0.24616156552152543,d2_embedding_centroid,32,0.5377108975913991,0.5749753120460311,0.9945120748440258,0.9586831854545941,2.2763181167765403,5.0,4.7454881666858615,k_lambda,,0.7,,
0.5576171983938136,0.01357606640934903,0.7590020213104803,0.2331004733160482,semantic_embedding_kmeans,64,0.5382174451128637,0.5775874058106772,0.9980365743379996,0.9620807092127103,2.2342904474997276,6.0,5.6644326472338715,k_lambda,,0.7,,
0.5619827259144194,0.009210538888743253,0.764082059247753,0.23392751039809861,flat_routecode_utility_oracle,64,0.5423730649002946,0.5810725886497634,1.010685625025998,0.9742740576026216,2.2680342308920824,6.0,5.805055748944078,k_lambda,,0.7,,
0.5583910018175777,0.012802262985585018,0.7636258247342445,0.23755680130178797,d2_embedding_centroid,64,0.5386255063786715,0.5747816561341319,1.0002786581832024,0.9642420183985364,2.2512711122647544,6.0,5.756313429817089,k_lambda,,0.7,,
0.5582402369070927,0.012953027896070035,0.7669748410737594,0.24160775536109763,semantic_embedding_kmeans,128,0.5413339202620892,0.5783990175901708,0.9998418191103309,0.9638209171525035,2.2742764889093388,7.0,6.456262682651804,k_lambda,,0.7,,
0.5625479022346881,0.008645362568474542,0.7548539439013547,0.22259189488467565,flat_routecode_utility_oracle,128,0.5421228255192873,0.5800865375856973,1.0123232149596293,0.9758526507376404,2.233518144702125,7.0,6.595280133524566,k_lambda,,0.7,,
0.5547260854824803,0.016467179320682486,0.7618929083991469,0.23979306770917735,d2_embedding_centroid,128,0.5368724106960654,0.5764539427777762,0.9896596179249274,0.9540055460632253,2.2766357547018146,7.0,6.449817650185436,k_lambda,,0.7,,
0.34083396027158946,0.2850996662141244,0.4410931008965895,0.22770642885532585,best_single,,0.31218260408464393,0.3699005034217272,0.0,0.0,0.0,0.0,,seed_stability,3,0.35,,
0.6062566582622734,0.019676968223440658,0.8094168197206066,0.46141303987811333,kNN,,0.5899621600520469,0.6237287350197815,0.9908011571293659,0.9309821421935224,1.992842651451872,0.0,,seed_stability,3,0.35,,
0.6060576262161292,0.019876000269584623,0.816737792882796,0.4784923158452569,logistic_embedding_router,,0.5899815404283081,0.6213532611762491,0.9900581868290929,0.9302840282715137,1.8920028173520234,0.0,,seed_stability,3,0.35,,
0.6087209082033918,0.017212718282322233,0.8181582467450584,0.4756696310280868,svm_embedding_router,,0.5914760082977019,0.6254870727684338,1.0,0.939625610542123,1.881257187574442,0.0,,seed_stability,3,0.35,,
0.6083228842291736,0.01761074225654036,0.8099772436041736,0.45799309419713824,d2_embedding_centroid,16,0.5932399540625085,0.624835062222489,0.9985142091569184,0.9382295234140545,2.015391486886195,4.0,3.4320728969425436,seed_stability,3,0.35,,
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,best_single,,0.3107564266478084,0.3551441653082996,0.0,0.0,0.0,0.0,,seed_stability,7,0.35,,
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,kNN,,0.650657553484612,0.6817511781054671,1.0,0.971720332443194,2.3119630468159187,0.0,,seed_stability,7,0.35,,
0.6578162110588742,0.018272760769844274,0.7671005756422076,0.25299063495921786,logistic_embedding_router,,0.6388744592188258,0.675498504809371,0.9745355529875775,0.9469760115268007,2.282477263311114,0.0,,seed_stability,7,0.35,,
0.662342182055346,0.013746789773372431,0.7721741508053462,0.25425832523091885,svm_embedding_router,,0.6452181002606513,0.6789840590433335,0.9880512578730298,0.9601094967712965,2.284541190878122,0.0,,seed_stability,7,0.35,,
0.6659623358822467,0.010126635946471889,0.77854074734058,0.26061627302436124,d2_embedding_centroid,16,0.650263824333099,0.6815671385751562,0.9988619614330999,0.9706144772286326,2.3157717134481937,4.0,3.8053689292420416,seed_stability,7,0.35,,
0.2917896652071713,0.38657341400199197,0.37889700895717127,0.1978363473767885,best_single,,0.26658216613609215,0.3146928736889508,0.0,0.0,0.0,0.0,,seed_stability,11,0.35,,
0.6709746719472311,0.007388407261932161,0.7774006302805644,0.2417123741388447,kNN,,0.6555264788904783,0.6862167617969961,1.0,0.9808874407956727,2.482821229597975,0.0,,seed_stability,11,0.35,,
0.6588570187532885,0.01950606045587475,0.7673114822949553,0.24631947204557494,logistic_embedding_router,,0.6432672417649463,0.6747251563542255,0.9680428999603099,0.9495411227224898,2.48377089379863,0.0,,seed_stability,11,0.35,,
