group_id,selected_model,mean_utility,mean_quality,lambda_cost,frontier_price_multiplier,selected_is_frontier
z06,qwen3-32b-awq-local,1.0,1.0,1.0,2.0,False
z07,gemini-3.5-flash,0.5886674167788063,0.660377358490566,1.0,2.0,True
z00,qwen3-4b-local,0.37037037037037035,0.37037037037037035,1.0,5.0,False
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,1.0,5.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,1.0,5.0,False
z03,qwen3-14b-awq-local,0.4247787610619469,0.4247787610619469,1.0,5.0,False
z04,deterministic_math_tool,0.0,0.0,1.0,5.0,False
z05,deterministic_math_tool,1.0,1.0,1.0,5.0,False
z06,qwen3-32b-awq-local,1.0,1.0,1.0,5.0,False
z07,gemini-3.5-flash,0.48110250421116657,0.660377358490566,1.0,5.0,True
