group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.1574116503234982,0.1364022557574689,0.3868468443956334,0.3510907542900826,664.0,672.3495145631068
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.1594247349292837,0.1409287902017129,0.2842401764541465,0.2767753055384265,672.0,680.9485436893204
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.160009225629894,0.1399184674809479,0.3387892248776769,0.3100098862201514,658.0,683.4601941747572
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.1606519857479272,0.1421752825822175,0.2839036788479188,0.2740357255501849,673.0,686.2330097087379
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.1611241204522443,0.1404247478519323,0.4214228014765696,0.3609107774012959,689.5,688.2708737864077
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.1635733265320174,0.1456675733045918,0.245877492515914,0.2313414483210779,673.5,698.704854368932
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.1637896464437559,0.144227417850621,0.2883909953204886,0.2806649074690217,704.0,699.6067961165048
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.1642610420549916,0.1444724317784047,0.289598947158056,0.2800356132009066,721.5,701.5805825242718
benchmark_label,diagnostic_label,test,9,54,0.1666429319050206,0.1500028388122409,0.3211177954726922,0.3325692429665453,719.0,711.8223300970874
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.168479190737456,0.1501518875233661,0.2512318266525054,0.2372005618560338,704.5,719.5718446601942
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.1716250335475762,0.1526871069214212,0.2496250737909419,0.2407043721218402,743.5,733.1330097087379
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.1748601062230442,0.1562104338936087,0.2541329569482534,0.2433155424547441,719.5,746.8145631067961
text_cluster_k8,train_fit_text_cluster,test,8,48,0.1923397459319876,0.1703191158936747,0.2453268916827254,0.3018596622669348,689.0,821.3932038834952
random_k8,random_baseline,test,8,48,0.2674374258850541,0.2351933421565733,0.4472310011950612,0.4300602986568628,1058.0,1141.9873786407768
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,train,8,48,0.0679376314680705,0.0617795858168422,0.1123799867041326,0.1002015030130164,148.0,290.3783875338753
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.0954516710069489,0.0763795251907195,0.1949965550202131,0.1726459526812239,268.0,407.87926509186354
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.0983722200297968,0.0795956683003307,0.1951094697868352,0.1740339571743067,277.0,420.3572834645669
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.1026732955951341,0.0834565585921806,0.1705055037197516,0.1598228011731166,268.0,438.6751968503937
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.1042477988187389,0.0847211312834487,0.1707812988572108,0.1605073756113126,299.5,445.4514435695538
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.10637220404022,0.0859882920227781,0.1946517431181325,0.1787545822534428,312.0,454.5465879265092
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.1109320896818266,0.090656731246994,0.1978885892461347,0.1856785740293318,305.0,474.005249343832
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.1116660317700307,0.0943754880454712,0.1621705205519259,0.1499890633239692,406.5,477.20931758530185
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.1144972642997362,0.0964587506155788,0.1636417897452562,0.151418036667436,445.5,489.18044619422574
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.1173120026810295,0.0975311434089375,0.1810604229332132,0.1757881063716489,381.0,501.1876640419948
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.1185938367203209,0.0988377254472493,0.189966589598018,0.1805045435310268,412.0,506.6578083989501
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.1206850274017061,0.1053767007450362,0.147840931600128,0.1390225013463343,510.0,515.5938320209974
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.1230858685693719,0.1071059300324649,0.1497591382048261,0.1412639044479713,498.5,525.9737532808399
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.1235210259834614,0.1071698644961304,0.1709147394395403,0.1608314767501629,500.5,527.8021653543307
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.123828157423105,0.1068311343325721,0.1695329699269611,0.1594794912790464,532.0,529.0469160104986
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.1332204682339039,0.1170681542026349,0.1282388257913866,0.1209595095074098,563.5,569.0961286089239
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.1349964087696434,0.1182111906589505,0.1283242259314087,0.1216113662731717,574.5,576.8116797900262
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.1357279016846972,0.120070922870617,0.1579215959848306,0.1507859734460613,566.5,579.8120078740158
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.1376142312170502,0.1211843456323778,0.1585173778785338,0.1518970449618741,561.5,587.8966535433071
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.1416381509655687,0.1244512518720151,0.1328753482392715,0.1253725999119751,577.0,605.0400262467192
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.1428775563282038,0.1253927459811945,0.133386097647347,0.1260343768212207,604.5,610.3940288713911
benchmark_label,diagnostic_label,train,9,54,0.1828362810677302,0.1650798636861188,0.2015794419508552,0.2070089178512877,836.5,780.9488188976378
text_cluster_k8,train_fit_text_cluster,train,8,47,0.1923211318897488,0.1748618597860448,0.2161487852094743,0.195395205806793,806.0,821.3851706036745
random_k8,random_baseline,train,8,48,0.2707464615797939,0.2367756527476467,0.2547893394232426,0.2536962402984186,1060.5,1156.1227034120734
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,val,8,48,0.0690419416380718,0.0653014536489768,0.1908231515558698,0.1707732752982611,136.0,295.031798245614
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.1443841864700243,0.1289229270598857,0.4755422756115711,0.3623124209913286,735.5,616.6777442094663
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.1467198286623404,0.1296383008698162,0.4654464581478366,0.3665127608006346,719.0,626.6596173212488
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.1497186335647725,0.1305323012210354,0.3675041566580364,0.3404086820472984,658.5,639.4743202416919
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.1499978690432377,0.1329317593827054,0.4752507918181445,0.3825016948051712,712.0,640.6858006042296
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.1502655542474069,0.131101142339813,0.3958046919246049,0.3446678079613681,669.5,641.8126888217523
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.1523052636060835,0.1345289865371614,0.4008827046713217,0.3474132660341518,759.0,650.5820745216515
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.1523364579827804,0.134929580686838,0.3310551915730498,0.3053080562395611,668.0,650.6334340382679
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.1534625577383213,0.1358031900239115,0.457584144076653,0.3862910131728051,719.5,655.4511581067472
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.1556426586174061,0.1376833659399858,0.341338650788626,0.3132009024348874,696.0,664.9144008056395
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.1560436223356549,0.1394245571642146,0.3246847072709181,0.3001566058700845,694.5,666.6042296072508
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.1565353117988185,0.1372844194356545,0.4250361318134045,0.3571151758436244,720.0,668.6334340382679
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.1592602397618968,0.1435285510058924,0.2985600724512426,0.2799908645427573,677.5,680.2598187311178
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.1601143027919722,0.1411638919493904,0.3506754262493705,0.3178946480706477,694.5,683.9718026183283
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.1604342429070192,0.1449213191615892,0.2974645670103665,0.2824325000574553,765.0,685.2426988922457
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.1619430987970708,0.1447492711908842,0.3027835992159115,0.282455063137007,682.0,691.7200402819739
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.1650042247121173,0.1475761281350405,0.3015432923025912,0.2840284669063786,737.5,704.7724068479356
benchmark_label,diagnostic_label,val,9,54,0.1666965587545749,0.1566665756521059,0.3062089604105609,0.3268231850818994,798.5,712.0594159113797
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.1699498868856337,0.1516352524699591,0.2659853978573945,0.241282748254568,657.0,725.9063444108762
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.172748999036528,0.1530105778275775,0.2678309350165966,0.2436980215676198,693.5,737.9707955689829
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.1728901179090716,0.1536424159596481,0.2631544180907046,0.2434559343796278,710.0,738.4138972809668
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.1731535645957073,0.1542325594863336,0.2678864655169667,0.2421969830625524,681.5,739.6012084592145
text_cluster_k8,train_fit_text_cluster,val,8,46,0.182097815260982,0.1680102651827325,0.2954369369196624,0.3142858781473171,736.5,777.7693856998993
random_k8,random_baseline,val,8,48,0.2604515558940264,0.2351569693966471,0.4491150064988356,0.4329261215538698,1091.0,1112.2849949647532
