heldout_model_type,method,budget,mean_utility,mean_quality,regret_to_full_calibration,n_new_model_evals,new_model_selection_rate,training_time_s
medium_local,dataset_stratified_calibration,320,0.6616331911830967,0.7674418604651163,0.0057480121147092484,320.0,0.05813953488372092,0.0
medium_local,embedding_cluster_calibration,320,0.6054200962565048,0.751937984496124,0.0009689922480620172,320.0,0.01937984496124031,0.0
medium_local,calibration_aware_route_state,640,0.7395295261586284,0.7790697674418605,0.0,515.0,0.07848837209302326,0.0
medium_local,active_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,515.0,0.0,0.0
medium_local,random_query_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,515.0,0.0,0.0
medium_local,uniform_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,515.0,0.0,0.0
medium_local,dataset_stratified_calibration,640,0.667381203297806,0.7761627906976744,0.0,515.0,0.0,0.0
medium_local,direct_probe_regressor_retrain,640,0.6636797769356672,0.7267441860465116,0.0003263346039240056,516.0,0.09011627906976745,0.03382622733382353
medium_local,embedding_cluster_calibration,640,0.6063890885045669,0.7529069767441859,0.0,515.0,0.0,0.0
strong_local,direct_probe_regressor_retrain,20,0.6608771586773149,0.7199612403100776,0.0028026182583523,20.0,0.1569767441860465,0.03405925550032407
strong_local,random_query_route_state_calibration,20,0.6440110581210859,0.7441860465116279,0.028312653892813122,20.0,0.3081395348837209,0.0
strong_local,calibration_aware_route_state,20,0.6285784949155375,0.6424418604651163,0.11095103124309096,20.0,0.49612403100775193,0.0
strong_local,active_route_state_calibration,20,0.6254707441100001,0.7112403100775193,0.04685296790389887,20.0,0.3808139534883721,0.0
strong_local,uniform_route_state_calibration,20,0.6089706516955659,0.6957364341085271,0.06335306031833314,20.0,0.440891472868217,0.0
strong_local,embedding_cluster_calibration,20,0.5957784961286059,0.7422480620155039,0.00770361563177487,20.0,0.1434108527131783,0.0
strong_local,dataset_stratified_calibration,20,0.5814297052015172,0.6424418604651163,0.08304452135210284,20.0,0.46511627906976744,0.0
strong_local,direct_probe_regressor_retrain,40,0.6545343834005454,0.7054263565891473,0.009145393535121837,40.0,0.18313953488372092,0.03562279833446761
strong_local,calibration_aware_route_state,40,0.653366825737988,0.6705426356589147,0.08616270042064038,40.0,0.28488372093023256,0.0
strong_local,random_query_route_state_calibration,40,0.6523523396769871,0.7558139534883721,0.019971372336911857,40.0,0.30329457364341084,0.0
strong_local,uniform_route_state_calibration,40,0.635753285868425,0.7422480620155039,0.03657042614547399,40.0,0.3381782945736434,0.0
strong_local,active_route_state_calibration,40,0.6311585120068645,0.7199612403100776,0.041165200007034664,40.0,0.35465116279069764,0.0
strong_local,dataset_stratified_calibration,40,0.5999306022252512,0.6782945736434108,0.06454362432836884,40.0,0.3682170542635659,0.0
strong_local,embedding_cluster_calibration,40,0.5914378483681063,0.7248062015503876,0.012044263392274546,40.0,0.15213178294573643,0.0
strong_local,calibration_aware_route_state,80,0.7012380539016329,0.7315891472868218,0.038291472256995605,80.0,0.13372093023255813,0.0
strong_local,direct_probe_regressor_retrain,80,0.6707787890836748,0.7267441860465116,-0.007099012148007733,80.0,0.15891472868217052,0.03428644583497468
strong_local,random_query_route_state_calibration,80,0.665540766277465,0.7839147286821705,0.006782945736434102,80.0,0.1327519379844961,0.0
strong_local,active_route_state_calibration,80,0.6617898909745916,0.7713178294573644,0.010533821039307445,80.0,0.27228682170542634,0.0
strong_local,uniform_route_state_calibration,80,0.6587578205410308,0.7771317829457365,0.013565891472868205,80.0,0.16182170542635657,0.0
strong_local,dataset_stratified_calibration,80,0.6385024709189832,0.7354651162790699,0.02597175563463683,80.0,0.25193798449612403,0.0
strong_local,embedding_cluster_calibration,80,0.601553791734801,0.748062015503876,0.001928320025579781,80.0,0.13953488372093023,0.0
strong_local,calibration_aware_route_state,160,0.7280138371444305,0.7645348837209301,0.011515689014197953,160.0,0.13081395348837208,0.0
strong_local,random_query_route_state_calibration,160,0.6723237120138991,0.7906976744186046,0.0,160.0,0.17248062015503876,0.0
strong_local,direct_probe_regressor_retrain,160,0.6702290598341558,0.7296511627906975,-0.0065492828984887175,160.0,0.1434108527131783,0.03382182100055312
strong_local,active_route_state_calibration,160,0.6685728367110256,0.7781007751937984,0.003750875302873343,160.0,0.2005813953488372,0.0
strong_local,uniform_route_state_calibration,160,0.665540766277465,0.7839147286821705,0.006782945736434102,160.0,0.11143410852713177,0.0
strong_local,dataset_stratified_calibration,160,0.6462611979614302,0.7461240310077519,0.018213028592189744,160.0,0.21317829457364343,0.0
strong_local,embedding_cluster_calibration,160,0.5957301737758848,0.7422480620155039,0.0077519379844961005,160.0,0.1385658914728682,0.0
strong_local,calibration_aware_route_state,320,0.7395295261586284,0.7790697674418605,0.0,320.0,0.1511627906976744,0.0
strong_local,active_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.1511627906976744,0.0
strong_local,random_query_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.16182170542635657,0.0
strong_local,uniform_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.1511627906976744,0.0
strong_local,direct_probe_regressor_retrain,320,0.6642201463879137,0.7277131782945737,-0.000540369452246614,320.0,0.09108527131782945,0.03535099133296171
strong_local,dataset_stratified_calibration,320,0.6567222885691238,0.7655038759689923,0.0077519379844961005,320.0,0.1937984496124031,0.0
strong_local,embedding_cluster_calibration,320,0.5996061427681327,0.7461240310077519,0.0038759689922480503,320.0,0.0998062015503876,0.0
strong_local,calibration_aware_route_state,640,0.7395295261586284,0.7790697674418605,0.0,504.5,0.1511627906976744,0.0
strong_local,active_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,504.5,0.1511627906976744,0.0
strong_local,random_query_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,504.5,0.1511627906976744,0.0
strong_local,uniform_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,504.5,0.1511627906976744,0.0
strong_local,dataset_stratified_calibration,640,0.66447422655362,0.7732558139534884,0.0,504.5,0.11627906976744186,0.0
strong_local,direct_probe_regressor_retrain,640,0.6636797769356672,0.7267441860465116,0.0,516.0,0.11337209302325581,0.03384742133130203
strong_local,embedding_cluster_calibration,640,0.6034821117603808,0.75,0.0,504.5,0.061046511627906974,0.0
verifiable_action,calibration_aware_route_state,20,0.7134268892142738,0.7616279069767442,0.026102636944354662,20.0,0.06201550387596899,0.0
verifiable_action,uniform_route_state_calibration,20,0.6723237120138991,0.7906976744186046,0.0,20.0,0.08139534883720931,0.0
