group_method,deployability,split,group_id,model_id,n_queries,mean_utility,utility_variance,quality_variance,ci_width_utility_95,samples_needed_for_0p03
benchmark_label,diagnostic_label,train,aime,qwen3-32b-awq-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,aime,qwen3-4b-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,aime,qwen3-8b-local,36,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,bbh,gemini-3.5-flash,60,0.7725395689021323,0.1733703853939281,0.15225988700564969,0.21071618709048975,741.0
benchmark_label,diagnostic_label,train,bbh,gpt-5.5,60,0.49349504878122197,0.3939343853447577,0.1522598870056497,0.31763063818849097,1682.0
benchmark_label,diagnostic_label,train,bbh,qwen3-14b-awq-local,60,0.6666666666666666,0.22598870056497167,0.22598870056497167,0.24057683347742848,965.0
benchmark_label,diagnostic_label,train,bbh,qwen3-32b-awq-local,39,0.8974358974358975,0.09446693657219972,0.09446693657219972,0.19292729693100413,404.0
benchmark_label,diagnostic_label,train,bbh,qwen3-4b-local,38,0.868421052631579,0.1173541963015647,0.1173541963015647,0.21784298558754142,501.0
benchmark_label,diagnostic_label,train,bbh,qwen3-8b-local,60,0.5,0.25423728813559315,0.25423728813559315,0.25517026552241473,1086.0
benchmark_label,diagnostic_label,train,gpqa,gemini-3.5-flash,60,0.07517365410910311,0.09122417670805215,0.09152542372881356,0.15284999122051074,390.0
benchmark_label,diagnostic_label,train,gpqa,gpt-5.5,60,-0.4018328162824795,0.2065300839048676,0.15225988700564963,0.22998637210770256,882.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-14b-awq-local,60,0.3,0.21355932203389832,0.21355932203389832,0.23386741137168923,912.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-32b-awq-local,60,0.36666666666666664,0.23615819209039549,0.23615819209039549,0.24593024901849211,1009.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-4b-local,60,0.06666666666666667,0.06327683615819207,0.06327683615819207,0.1273012945169348,271.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-8b-local,60,0.2,0.16271186440677962,0.16271186440677962,0.2041362124179318,695.0
benchmark_label,diagnostic_label,train,gsm8k,gemini-3.5-flash,60,0.976901367174903,0.016958805720944617,0.016666666666666666,0.06590343848266737,73.0
benchmark_label,diagnostic_label,train,gsm8k,gpt-5.5,60,0.8927601190399409,0.003157815689186107,0.0,0.028438313067148634,14.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-14b-awq-local,60,0.36666666666666664,0.23615819209039554,0.23615819209039554,0.24593024901849217,1009.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-32b-awq-local,60,0.43333333333333335,0.24971751412429374,0.24971751412429374,0.2528919139685156,1066.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-4b-local,60,0.7166666666666667,0.20649717514124288,0.20649717514124288,0.22996804821867445,882.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-8b-local,60,0.6833333333333333,0.22005649717514122,0.22005649717514122,0.23739826446262863,940.0
benchmark_label,diagnostic_label,train,humaneval,gemini-3.5-flash,60,0.11172731399068665,0.1217548474742568,0.12966101694915252,0.1765849034802815,520.0
benchmark_label,diagnostic_label,train,humaneval,gpt-5.5,60,0.6579812469632669,0.15462350328078867,0.09152542372881356,0.19899776384061502,661.0
benchmark_label,diagnostic_label,train,humaneval,qwen3-14b-awq-local,60,0.8,0.1627118644067797,0.1627118644067797,0.20413621241793187,695.0
benchmark_label,diagnostic_label,train,humaneval,qwen3-32b-awq-local,60,0.9166666666666666,0.07768361581920905,0.07768361581920905,0.14105067139886843,332.0
benchmark_label,diagnostic_label,train,humaneval,qwen3-4b-local,60,0.5333333333333333,0.2531073446327684,0.2531073446327684,0.2546025890338697,1081.0
benchmark_label,diagnostic_label,train,humaneval,qwen3-8b-local,60,0.6,0.24406779661016947,0.24406779661016947,0.25001477922416604,1042.0
benchmark_label,diagnostic_label,train,livemathbench,gemini-3.5-flash,60,0.28406386652993304,0.21611039665885864,0.21355932203389832,0.2352600971697313,923.0
benchmark_label,diagnostic_label,train,livemathbench,gpt-5.5,60,0.16693340202262563,0.39166061126254,0.2516949152542373,0.3167126357047951,1672.0
benchmark_label,diagnostic_label,train,livemathbench,qwen3-14b-awq-local,60,0.26666666666666666,0.19887005649717518,0.19887005649717518,0.22568107423818953,849.0
benchmark_label,diagnostic_label,train,livemathbench,qwen3-32b-awq-local,60,0.23333333333333334,0.18192090395480223,0.18192090395480223,0.21584984667321686,777.0
benchmark_label,diagnostic_label,train,livemathbench,qwen3-4b-local,60,0.21666666666666667,0.1725988700564972,0.1725988700564972,0.21024681039341037,737.0
benchmark_label,diagnostic_label,train,livemathbench,qwen3-8b-local,60,0.21666666666666667,0.1725988700564972,0.1725988700564972,0.21024681039341037,737.0
benchmark_label,diagnostic_label,train,math500,gemini-3.5-flash,60,0.6508312412122854,0.22864714280799706,0.22598870056497175,0.24198772197657764,976.0
benchmark_label,diagnostic_label,train,math500,gpt-5.5,60,0.590784038822887,0.23563848734852444,0.12966101694915252,0.24565949510085316,1006.0
benchmark_label,diagnostic_label,train,math500,qwen3-14b-awq-local,60,0.43333333333333335,0.2497175141242937,0.2497175141242937,0.2528919139685156,1066.0
benchmark_label,diagnostic_label,train,math500,qwen3-32b-awq-local,60,0.4166666666666667,0.24717514124293782,0.24717514124293782,0.2516012748508865,1056.0
benchmark_label,diagnostic_label,train,math500,qwen3-4b-local,60,0.4666666666666667,0.25310734463276835,0.25310734463276835,0.2546025890338697,1081.0
benchmark_label,diagnostic_label,train,math500,qwen3-8b-local,60,0.36666666666666664,0.23615819209039549,0.23615819209039549,0.24593024901849211,1009.0
