group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,val,8,48,0.06904194163807188,0.06530145364897687,0.19082315155586982,0.17077327529826117,136.0,295.031798245614
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.14438418647002432,0.12892292705988576,0.4755422756115711,0.3623124209913286,735.5,616.6777442094663
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.14671982866234048,0.12963830086981623,0.4654464581478366,0.36651276080063466,719.0,626.6596173212488
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.14971863356477252,0.1305323012210354,0.36750415665803643,0.34040868204729846,658.5,639.4743202416919
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.1499978690432377,0.13293175938270546,0.4752507918181445,0.3825016948051712,712.0,640.6858006042296
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.15026555424740698,0.13110114233981304,0.39580469192460493,0.34466780796136814,669.5,641.8126888217523
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.15230526360608357,0.1345289865371614,0.40088270467132175,0.3474132660341518,759.0,650.5820745216515
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.15233645798278042,0.134929580686838,0.3310551915730498,0.3053080562395611,668.0,650.6334340382679
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,val,16,96,0.15346255773832135,0.13580319002391156,0.45758414407665304,0.3862910131728051,719.5,655.4511581067472
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.15564265861740614,0.1376833659399858,0.341338650788626,0.31320090243488746,696.0,664.9144008056395
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.15604362233565494,0.13942455716421465,0.3246847072709181,0.3001566058700845,694.5,666.6042296072508
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,val,12,72,0.15653531179881858,0.13728441943565456,0.4250361318134045,0.35711517584362445,720.0,668.6334340382679
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.15926023976189682,0.14352855100589246,0.29856007245124266,0.27999086454275735,677.5,680.2598187311178
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,val,8,48,0.16011430279197222,0.14116389194939044,0.3506754262493705,0.31789464807064777,694.5,683.9718026183283
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.16043424290701924,0.14492131916158926,0.2974645670103665,0.28243250005745535,765.0,685.2426988922457
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.1619430987970708,0.1447492711908842,0.3027835992159115,0.282455063137007,682.0,691.7200402819739
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,val,6,36,0.16500422471211737,0.1475761281350405,0.30154329230259125,0.2840284669063786,737.5,704.7724068479356
benchmark_label,diagnostic_label,val,9,54,0.16669655875457492,0.15666657565210593,0.3062089604105609,0.32682318508189945,798.5,712.0594159113797
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.16994988688563373,0.15163525246995918,0.2659853978573945,0.24128274825456802,657.0,725.9063444108762
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.17274899903652804,0.15301057782757757,0.26783093501659666,0.24369802156761983,693.5,737.9707955689829
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.17289011790907163,0.15364241595964814,0.2631544180907046,0.2434559343796278,710.0,738.4138972809668
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,val,4,24,0.17315356459570733,0.15423255948633363,0.26788646551696677,0.2421969830625524,681.5,739.6012084592145
text_cluster_k8,train_fit_text_cluster,val,8,46,0.18209781526098204,0.1680102651827325,0.2954369369196624,0.3142858781473171,736.5,777.7693856998993
random_k8,random_baseline,val,8,48,0.26045155589402647,0.23515696939664713,0.4491150064988356,0.43292612155386984,1091.0,1112.2849949647532
