heldout_model,heldout_model_type,method,budget,seed,acquisition,n_new_model_evals,group_count,n_test_queries,mean_quality,mean_utility,query_oracle_mean_utility,query_oracle_regret,new_model_selection_rate,frontier_call_rate,remote_cost_per_1k_queries,mean_normalized_cost,training_time_s,full_calibration_mean_utility,regret_to_full_calibration
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,40,17,random_query,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,40,17,uniform_group,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,40,17,adaptive_value,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,40,18,random_query,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,40,18,uniform_group,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,40,18,adaptive_value,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,40,19,random_query,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,40,19,uniform_group,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,40,19,adaptive_value,40,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,40,17,direct_regressor,40,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.18257539013553092,0.09302325581395349,0.4418604651162791,1.2993866279069752,0.18018402603098407,0.07692994899844052,0.6636797769356672,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,40,18,direct_regressor,40,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.18257539013553092,0.0872093023255814,0.4418604651162791,1.2993866279069752,0.18018402603098407,0.07790563699381892,0.6636797769356672,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,40,19,direct_regressor,40,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.18257539013553092,0.09302325581395349,0.4418604651162791,1.2993866279069752,0.18018402603098407,0.07867968899518019,0.6636797769356672,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,80,17,random_query,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,80,17,uniform_group,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,80,17,adaptive_value,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,80,18,random_query,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,80,18,uniform_group,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,80,18,adaptive_value,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,random_query_predicted_utility_state,80,19,random_query,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,uniform_predicted_utility_state,80,19,uniform_group,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,active_predicted_utility_state,80,19,adaptive_value,80,6,172,0.75,0.6960180768933092,0.8462551670711981,0.1502370901778889,0.09302325581395349,0.37790697674418605,1.1122499999999984,0.15423406601911666,0.0,0.6960180768933092,0.0
deterministic_math_tool,verifiable_action,direct_probe_regressor_retrain,80,17,direct_regressor,80,0,172,0.7267441860465116,0.6636797769356672,0.8462551670711981,0.18257539013553092,0.09302325581395349,0.4418604651162791,1.2993866279069752,0.18018402603098407,0.08131123700150056,0.6636797769356672,0.0
