group_method,deployability,split,group_id,model_id,n_queries,mean_utility,utility_variance,quality_variance,ci_width_utility_95,samples_needed_for_0p03
benchmark_label,diagnostic_label,train,gpqa,gemini-3.5-flash,60,0.07517365410910311,0.09122417670805215,0.09152542372881356,0.15284999122051074,390.0
benchmark_label,diagnostic_label,train,gpqa,gemini-3.5-flash-strong-solve,60,0.4798368911484337,0.21903709476735936,0.18192090395480232,0.2368477574671527,935.0
benchmark_label,diagnostic_label,train,gpqa,gpt-5.5,60,-0.4018328162824795,0.2065300839048676,0.15225988700564963,0.22998637210770256,882.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-14b-awq-local,60,0.3,0.21355932203389832,0.21355932203389832,0.23386741137168923,912.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-32b-awq-local,60,0.36666666666666664,0.23615819209039549,0.23615819209039549,0.24593024901849211,1009.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-32b-awq-selfconsistency-n3-local,60,0.1,0.09152542372881356,0.09152542372881356,0.15310215931344887,391.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-4b-local,60,0.06666666666666667,0.06327683615819207,0.06327683615819207,0.1273012945169348,271.0
benchmark_label,diagnostic_label,train,gpqa,qwen3-8b-local,60,0.2,0.16271186440677962,0.16271186440677962,0.2041362124179318,695.0
benchmark_label,diagnostic_label,train,gsm8k,deterministic_math_tool,60,0.0,0.0,0.0,0.0,0.0
benchmark_label,diagnostic_label,train,gsm8k,gemini-3.5-flash,60,0.976901367174903,0.016958805720944617,0.016666666666666666,0.06590343848266737,73.0
benchmark_label,diagnostic_label,train,gsm8k,gemini-3.5-flash-strong-solve,60,0.9146080961456604,0.0033224184706479166,0.0,0.029170079187232287,15.0
benchmark_label,diagnostic_label,train,gsm8k,gpt-5.5,60,0.8927601190399409,0.003157815689186107,0.0,0.028438313067148634,14.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-14b-awq-local,60,0.36666666666666664,0.23615819209039554,0.23615819209039554,0.24593024901849217,1009.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-32b-awq-local,60,0.43333333333333335,0.24971751412429374,0.24971751412429374,0.2528919139685156,1066.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-32b-awq-selfconsistency-n3-local,60,0.4166666666666667,0.24717514124293785,0.24717514124293785,0.2516012748508865,1056.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-4b-local,60,0.7166666666666667,0.20649717514124288,0.20649717514124288,0.22996804821867445,882.0
benchmark_label,diagnostic_label,train,gsm8k,qwen3-8b-local,60,0.6833333333333333,0.22005649717514122,0.22005649717514122,0.23739826446262863,940.0
benchmark_label,diagnostic_label,train,humaneval,deterministic_math_tool,60,0.0,0.0,0.0,0.0,0.0
