method,view,min_leaf,n_states,split,n_queries,state_accuracy,adjusted_rand,mean_confidence,mean_utility,oracle_utility,oracle_utility_ratio,oracle_regret,frontier_call_rate,local_call_rate,state_entropy_bits,error_rate
student::tree_classifier,probe_only,40,8,train,492,1.0,1.0,1.0,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
student::extra_trees,probe_only,40,8,train,492,1.0,1.0,1.0,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
student::histgb,probe_only,40,8,train,492,1.0,1.0,0.9999556645811133,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,40,8,train,492,1.0,1.0,1.0,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
student::tree_classifier,semantic_pca8_plus_probe,40,8,train,492,1.0,1.0,1.0,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
student::extra_trees,semantic_pca8_plus_probe,40,8,train,492,1.0,1.0,1.0,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
student::histgb,semantic_pca8_plus_probe,40,8,train,492,1.0,1.0,0.999955384146114,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
tree_exact_state_assignment,probe_only,30,8,train,492,1.0,1.0,1.0,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.9069986605827935,0.0
student::extra_trees,probe_only,30,8,train,492,1.0,1.0,1.0,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.9069986605827935,0.0
student::histgb,probe_only,30,8,train,492,1.0,1.0,0.999954451889906,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.9069986605827935,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,30,8,train,492,1.0,1.0,1.0,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.9069986605827935,0.0
student::extra_trees,semantic_pca8_plus_probe,30,8,train,492,1.0,1.0,1.0,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.9069986605827935,0.0
student::histgb,semantic_pca8_plus_probe,30,8,train,492,1.0,1.0,0.9999543636429227,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.9069986605827935,0.0
student::random_forest,probe_only,5,8,train,492,0.9979674796747967,0.9962307634331842,0.8956215802389257,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.76351404504841,0.0020325203252032522
student::random_forest,probe_only,10,8,train,492,0.9979674796747967,0.9962307634331842,0.8956215802389257,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.76351404504841,0.0020325203252032522
student::random_forest,semantic_pca8_plus_probe,5,8,train,492,0.9979674796747967,0.9962307634331842,0.8902517054818635,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.76351404504841,0.0020325203252032522
