replicate_seed,mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,new_model_id,examples_per_label,calibration_query_count,new_model_evaluations,labels_switching_to_new_model
0,0.6931034482758621,0.20344827586206896,0.6931034482758621,0.08592821301249662,random_route_state_calibration,16,0.6619827586206897,0.7302155172413792,0.0,0.11278195488721848,1.9003447152936368,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,1,16,16,4
0,0.7137931034482758,0.18275862068965518,0.7137931034482758,0.08322695476931173,dataset_stratified_calibration,16,0.6861206896551724,0.7491810344827586,0.0,0.20300751879699258,1.7060951677187974,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,1,16,16,4
0,0.7241379310344828,0.1724137931034483,0.7241379310344828,0.08227335485572855,embedding_cluster_calibration,16,0.6973706896551723,0.7551724137931034,0.0,0.24812030075187988,1.6979049708915146,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,1,16,16,4
0,0.6258620689655172,0.2706896551724138,0.6258620689655172,0.08208324111687877,uniform_route_state_calibration,16,0.5939224137931034,0.6637931034482759,0.0,-0.1804511278195487,1.3737327085750615,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,1,16,16,8
0,0.6913793103448276,0.20517241379310344,0.6913793103448276,0.10596699345054185,active_route_state_calibration,16,0.6568103448275862,0.7259482758620689,0.0,0.10526315789473702,1.681158399766975,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,1,16,16,5
0,0.6758620689655173,0.2206896551724138,0.6758620689655173,0.1415909263423857,direct_retraining_budgeted_logistic_active_budget,,0.6353017241379311,0.7086206896551724,0.0,0.03759398496240632,1.149162294846372,0.0,,DeepSeek-R1-Distill-Qwen-7B,1,16,16,
0,0.7275862068965517,0.16896551724137931,0.7275862068965517,0.07918047552293414,random_route_state_calibration,16,0.6982758620689655,0.757801724137931,0.0,0.2631578947368423,1.7300109333336884,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,2,32,32,2
0,0.7206896551724138,0.17586206896551723,0.7206896551724138,0.0731105443381813,dataset_stratified_calibration,16,0.6895689655172413,0.754353448275862,0.0,0.23308270676691745,1.7676744293018465,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,2,32,32,2
0,0.6793103448275862,0.21724137931034482,0.6793103448275862,0.08706762460936752,embedding_cluster_calibration,16,0.6473706896551724,0.7173275862068965,0.0,0.05263157894736875,1.9150035739492033,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,2,32,32,4
0,0.7137931034482758,0.18275862068965518,0.7137931034482758,0.08341415184737819,uniform_route_state_calibration,16,0.6861206896551724,0.7491810344827586,0.0,0.20300751879699258,1.6938336935337355,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,2,32,32,4
0,0.6672413793103448,0.2293103448275862,0.6672413793103448,0.06730844150594731,active_route_state_calibration,16,0.63875,0.7044396551724137,0.0,0.0,1.8395537020919426,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,2,32,32,6
0,0.6758620689655173,0.2206896551724138,0.6758620689655173,0.1415909263423857,direct_retraining_budgeted_logistic_active_budget,,0.6353017241379311,0.7086206896551724,0.0,0.03759398496240632,1.149162294846372,0.0,,DeepSeek-R1-Distill-Qwen-7B,2,32,32,
0,0.7068965517241379,0.1896551724137931,0.7068965517241379,0.08342021886839393,random_route_state_calibration,16,0.674051724137931,0.7440086206896551,0.0,0.17293233082706772,1.79538918332562,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,4,64,64,2
0,0.7051724137931035,0.19137931034482758,0.7051724137931035,0.07623814407749789,dataset_stratified_calibration,16,0.6749568965517241,0.7380172413793102,0.0,0.16541353383458673,1.834251415122877,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,4,64,64,4
0,0.696551724137931,0.2,0.696551724137931,0.08520244906025953,embedding_cluster_calibration,16,0.6628879310344827,0.7345689655172413,0.0,0.12781954887218042,1.854071196338,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,4,64,64,4
0,0.7051724137931035,0.19137931034482758,0.7051724137931035,0.09431474956579797,uniform_route_state_calibration,16,0.6680603448275861,0.7397413793103448,0.0,0.16541353383458673,1.8623244843835058,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,4,64,64,3
0,0.7189655172413794,0.17758620689655172,0.7189655172413794,0.08643950578614983,active_route_state_calibration,16,0.68875,0.7509051724137931,0.0,0.22556390977443647,1.5006621173328476,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,4,64,64,5
0,0.6758620689655173,0.2206896551724138,0.6758620689655173,0.1415909263423857,direct_retraining_budgeted_logistic_active_budget,,0.6353017241379311,0.7086206896551724,0.0,0.03759398496240632,1.149162294846372,0.0,,DeepSeek-R1-Distill-Qwen-7B,4,64,64,
0,0.7344827586206897,0.16206896551724137,0.7344827586206897,0.07144404005190041,random_route_state_calibration,16,0.7050862068965517,0.7655172413793103,0.0,0.2932330827067672,1.6260007845512336,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,8,128,128,2
0,0.7362068965517241,0.16034482758620688,0.7362068965517241,0.0710393298837817,dataset_stratified_calibration,16,0.7077155172413793,0.7681465517241379,0.0,0.30075187969924816,1.5968424419021423,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,8,128,128,3
0,0.65,0.24655172413793103,0.65,0.08256762637738722,embedding_cluster_calibration,16,0.6154310344827586,0.6913793103448276,0.0,-0.07518796992481168,1.3569735738596638,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,8,128,128,7
0,0.7224137931034482,0.17413793103448275,0.7224137931034482,0.07438386762920988,uniform_route_state_calibration,16,0.6930172413793103,0.7551724137931034,0.0,0.24060150375939843,1.7233117982478965,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,8,128,128,3
0,0.7362068965517241,0.16034482758620688,0.7362068965517241,0.07101492203828341,active_route_state_calibration,16,0.7077155172413793,0.7681465517241379,0.0,0.30075187969924816,1.594372290015209,4.0,3.0414280637623454,DeepSeek-R1-Distill-Qwen-7B,8,128,128,2
0,0.6758620689655173,0.2206896551724138,0.6758620689655173,0.1415909263423857,direct_retraining_budgeted_logistic_active_budget,,0.6353017241379311,0.7086206896551724,0.0,0.03759398496240632,1.149162294846372,0.0,,DeepSeek-R1-Distill-Qwen-7B,8,128,128,
0,0.7379310344827587,0.15862068965517243,0.7379310344827587,0.06490939369220891,routecode_no_new_model,16,0.7051724137931035,0.7752155172413793,0.0,0.3082706766917296,1.6410691947256015,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,0,0,0,
0,0.6706896551724137,0.22586206896551725,0.6706896551724137,0.0275527947487152,random_route_state_calibration,16,0.6370258620689655,0.707801724137931,0.0,0.015037593984962431,1.9812967885571444,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,1,16,16,3
0,0.7206896551724138,0.17586206896551723,0.7206896551724138,0.06359192106194674,dataset_stratified_calibration,16,0.6877586206896552,0.7560775862068965,0.0,0.23308270676691745,1.986842194411838,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,1,16,16,2
0,0.6879310344827586,0.20862068965517241,0.6879310344827586,0.0527569940345618,embedding_cluster_calibration,16,0.6577155172413793,0.7224999999999999,0.0,0.09022556390977458,2.0415604899590907,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,1,16,16,3
0,0.5482758620689655,0.3482758620689655,0.5482758620689655,0.021203618687820586,uniform_route_state_calibration,16,0.5111637931034483,0.5827586206896552,0.0,-0.5187969924812027,0.6185129207217241,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,1,16,16,10
