sensitivity_name,sensitivity_k,sensitivity_alpha,method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max,recovered_gap_vs_oracle_mean
k_16_alpha_3p0,16,3.0,routecode_no_new_model,Qwen2.5-Coder-7B-Instruct,0,2,0.696552,0.009753,0.689655,0.703448,0.0,0,0,0.085917
k_16_alpha_3p0,16,3.0,routecode_no_new_model,Qwen3-8B,0,2,0.731034,0.019506,0.717241,0.744828,0.0,0,0,0.243909
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.730172,0.020726,0.715517,0.744828,16.0,16,16,0.238464
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.711207,0.054862,0.672414,0.75,64.0,64,64,0.150886
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.736207,0.024383,0.718966,0.753448,125.0,122,128,0.265781
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.727586,0.046328,0.694828,0.760345,16.0,16,16,0.225729
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.72931,0.036574,0.703448,0.755172,63.0,62,64,0.236711
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.752586,0.008534,0.746552,0.758621,125.0,122,128,0.340901
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,Qwen3-8B,1,2,0.705172,0.046328,0.672414,0.737931,16.0,16,16,0.127261
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,Qwen3-8B,4,2,0.758621,0.0,0.758621,0.758621,63.0,62,64,0.368678
k_16_alpha_3p0,16,3.0,uniform_route_state_calibration,Qwen3-8B,8,2,0.753448,0.012191,0.744828,0.762069,125.0,122,128,0.345607
k_32_alpha_3p0,32,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.673276,0.025602,0.655172,0.691379,32.0,32,32,-0.02058
k_32_alpha_3p0,32,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.669828,0.023164,0.653448,0.686207,123.5,123,124,-0.036176
k_32_alpha_3p0,32,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.743103,0.012191,0.734483,0.751724,241.5,240,243,0.297619
k_32_alpha_3p0,32,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.647414,0.037794,0.62069,0.674138,32.0,32,32,-0.138704
k_32_alpha_3p0,32,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.659483,0.059738,0.617241,0.701724,123.0,123,123,-0.084625
k_32_alpha_3p0,32,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.742241,0.015849,0.731034,0.753448,235.0,235,235,0.294758
k_32_alpha_3p0,32,3.0,active_route_state_calibration,Qwen3-8B,1,2,0.690517,0.008534,0.684483,0.696552,32.0,32,32,0.059155
k_32_alpha_3p0,32,3.0,active_route_state_calibration,Qwen3-8B,4,2,0.707759,0.037794,0.681034,0.734483,124.5,124,125,0.138704
k_32_alpha_3p0,32,3.0,active_route_state_calibration,Qwen3-8B,8,2,0.747414,0.006096,0.743103,0.751724,243.0,242,244,0.317922
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.721552,0.020726,0.706897,0.736207,32.0,32,32,0.200812
