method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,recovered_gap_vs_oracle_mean,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max
direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,8,3,0.665517,0.003448,0.662069,0.668966,-0.007519,123.333333,121,127
direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,1,3,0.606897,0.0,0.606897,0.606897,-0.263158,16.0,16,16
direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,2,3,0.606897,0.0,0.606897,0.606897,-0.263158,32.0,32,32
direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,4,3,0.605172,0.002986,0.601724,0.606897,-0.270677,63.333333,62,64
direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,8,3,0.605172,0.002986,0.601724,0.606897,-0.270677,126.0,122,128
embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,1,3,0.685632,0.040667,0.643103,0.724138,0.080201,16.0,16,16
embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,2,3,0.681609,0.025939,0.656897,0.708621,0.062657,32.0,32,32
embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,4,3,0.691954,0.031289,0.658621,0.72069,0.107769,63.333333,62,64
embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,8,3,0.672989,0.036871,0.65,0.715517,0.025063,126.0,122,128
embedding_cluster_calibration,Intern-S1-mini,1,3,0.697126,0.033889,0.675862,0.736207,0.130326,16.0,16,16
embedding_cluster_calibration,Intern-S1-mini,2,3,0.715517,0.029913,0.682759,0.741379,0.210526,32.0,32,32
embedding_cluster_calibration,Intern-S1-mini,4,3,0.736782,0.009804,0.725862,0.744828,0.303258,64.0,64,64
embedding_cluster_calibration,Intern-S1-mini,8,3,0.722414,0.014931,0.705172,0.731034,0.240602,127.0,126,128
embedding_cluster_calibration,Llama-3.1-8B-Instruct,1,3,0.695402,0.014459,0.686207,0.712069,0.122807,16.0,16,16
embedding_cluster_calibration,Llama-3.1-8B-Instruct,2,3,0.720115,0.014042,0.710345,0.736207,0.230576,31.333333,30,32
embedding_cluster_calibration,Llama-3.1-8B-Instruct,4,3,0.701149,0.025242,0.674138,0.724138,0.14787,61.0,58,64
embedding_cluster_calibration,Llama-3.1-8B-Instruct,8,3,0.714368,0.007775,0.706897,0.722414,0.205514,118.333333,113,125
embedding_cluster_calibration,MiniCPM4.1-8B,1,3,0.722989,0.018274,0.703448,0.739655,0.243108,16.0,16,16
embedding_cluster_calibration,MiniCPM4.1-8B,2,3,0.721264,0.020714,0.7,0.741379,0.235589,31.333333,31,32
embedding_cluster_calibration,MiniCPM4.1-8B,4,3,0.74023,0.011218,0.72931,0.751724,0.318296,61.333333,59,64
embedding_cluster_calibration,MiniCPM4.1-8B,8,3,0.737931,0.003448,0.734483,0.741379,0.308271,119.333333,115,125
embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,1,3,0.708621,0.013017,0.696552,0.722414,0.180451,16.0,16,16
embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,2,3,0.706897,0.013685,0.696552,0.722414,0.172932,31.666667,31,32
embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,4,3,0.717241,0.012433,0.703448,0.727586,0.218045,62.666667,61,64
embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,8,3,0.721264,0.027712,0.689655,0.741379,0.235589,123.333333,121,127
embedding_cluster_calibration,Qwen3-8B,1,3,0.682184,0.01811,0.663793,0.7,0.065163,16.0,16,16
embedding_cluster_calibration,Qwen3-8B,2,3,0.733908,0.010535,0.722414,0.743103,0.290727,32.0,32,32
embedding_cluster_calibration,Qwen3-8B,4,3,0.722989,0.017695,0.703448,0.737931,0.243108,63.333333,62,64
embedding_cluster_calibration,Qwen3-8B,8,3,0.721839,0.013055,0.706897,0.731034,0.238095,126.0,122,128
random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,3,0.715517,0.029004,0.693103,0.748276,0.210526,16.0,16,16
random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,2,3,0.702874,0.041319,0.655172,0.727586,0.155388,32.0,32,32
random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,3,0.702299,0.01602,0.684483,0.715517,0.152882,63.333333,62,64
random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,3,0.727586,0.019884,0.705172,0.743103,0.263158,126.0,122,128
random_route_state_calibration,Intern-S1-mini,1,3,0.734483,0.011945,0.727586,0.748276,0.293233,16.0,16,16
