result_id,comparison,state_family,oracle_state_method,deployable_state_method,K,alpha,encoder_family,strong_encoder_status,query_oracle_mean_utility,query_oracle_mean_utility_ci_low,query_oracle_mean_utility_ci_high,best_single_mean_utility,best_single_mean_utility_ci_low,best_single_mean_utility_ci_high,oracle_state_mean_utility,oracle_state_mean_utility_ci_low,oracle_state_mean_utility_ci_high,deployable_state_mean_utility,deployable_state_mean_utility_ci_low,deployable_state_mean_utility_ci_high,state_observability_gap,state_observability_gap_ci_low,state_observability_gap_ci_high,query_oracle_gap,query_oracle_gap_ci_low,query_oracle_gap_ci_high,state_oracle_gap_vs_best_single,deployable_gap_vs_best_single,state_gap_closed,full_gap_closed_vs_query_oracle,oracle_state_recovered_gap_vs_oracle,deployable_recovered_gap_vs_oracle,label_accuracy,mean_confidence,evidence_source,interpretation,ece,status,reason,method,oracle_regret,mean_utility,mean_quality,normalized_cost,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,probe_scope,model_id,cache_status,readiness_reason,architecture,model_type,hidden_size,size_gb,local_path,state_predictor,embedding_source,embedding_dim,embedding_seconds,predictor_seconds,routing_invariant,config_path
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_logistic,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_logistic,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7517241379310344,0.7189655172413794,0.7905603448275862,0.746551724137931,0.7163362068965518,0.7775862068965518,0.005172413793103403,-0.05862068965517242,0.07422413793103444,0.15000000000000002,0.09482758620689646,0.20181034482758609,0.08448275862068966,0.07931034482758625,0.9387755102040821,0.34586466165413543,0.36842105263157887,0.34586466165413543,0.9258620689655173,0.9307897179842696,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.010185298344830099,executed,,d2_predictability_constrained_strong_encoder_logistic,0.15,0.746551724137931,0.746551724137931,0.05866162295393547,0.7163362068965518,0.7775862068965518,0.9387755102040821,0.34586466165413543,1.5731280548913773,4.0,3.859598008936671,strong_encoder_state_observability,BAAI/bge-small-en-v1.5,cached,cached_encoder_candidate,BertModel,bert,384.0,0.3735622260719538,/home/liush/.cache/huggingface/hub/models--BAAI--bge-small-en-v1.5/snapshots/5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,logistic,local_transformer,384.0,4.044780568990973,0.7422045259881997,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_logistic,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_logistic,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7448275862068966,0.7094396551724138,0.7844827586206896,0.7482758620689656,0.7146120689655172,0.7810344827586206,-0.0034482758620689724,-0.07159482758620683,0.0698706896551724,0.14827586206896548,0.0913793103448276,0.20353448275862063,0.07758620689655182,0.0810344827586208,1.0444444444444445,0.3533834586466169,0.33834586466165445,0.3533834586466169,0.9206896551724137,0.9364128799965198,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.02133533065383964,executed,,d2_predictability_constrained_strong_encoder_logistic,0.1482758620689655,0.7482758620689656,0.7482758620689656,0.05957018379018293,0.7146120689655172,0.7810344827586206,1.0444444444444445,0.3533834586466169,1.5674928715649579,4.0,3.89634897609709,strong_encoder_state_observability,answerdotai/ModernBERT-base,cached,cached_encoder_candidate,ModernBertForMaskedLM,modernbert,768.0,0.5595299750566483,/home/liush/.cache/huggingface/hub/models--answerdotai--ModernBERT-base/snapshots/8949b909ec900327062f0ebf497f51aef5e6f0c8,logistic,local_transformer,768.0,3.9659385059931083,4.379761656993651,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_logistic,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_logistic,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7448275862068966,0.7128879310344828,0.7784913793103448,0.7482758620689656,0.7146120689655172,0.7844827586206896,-0.0034482758620689724,-0.07159482758620683,0.06387931034482763,0.14827586206896548,0.08793103448275863,0.20353448275862063,0.07758620689655182,0.0810344827586208,1.0444444444444445,0.3533834586466169,0.33834586466165445,0.3533834586466169,0.9258620689655173,0.9275669465517561,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.018289039440808848,executed,,d2_predictability_constrained_strong_encoder_logistic,0.1482758620689655,0.7482758620689656,0.7482758620689656,0.04162092960951938,0.7146120689655172,0.7844827586206896,1.0444444444444445,0.3533834586466169,1.5558454391615288,4.0,3.8098480643095933,strong_encoder_state_observability,intfloat/e5-small-v2,cached,cached_encoder_candidate,BertModel,bert,384.0,0.7480388842523098,/home/liush/.cache/huggingface/hub/models--intfloat--e5-small-v2/snapshots/ffb93f3bd4047442299a41ebb6fa998a38507c52,logistic,local_transformer,384.0,1.4744351819972508,0.542088276008144,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_logistic,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_logistic,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7241379310344828,0.6896551724137931,0.7604310344827585,0.7241379310344828,0.6870258620689655,0.764698275862069,0.0,-0.0750431034482758,0.07340517241379296,0.1724137931034483,0.10771551724137929,0.2311206896551723,0.05689655172413799,0.05689655172413799,1.0,0.24812030075187988,0.24812030075187988,0.24812030075187988,0.8724137931034482,0.9109921845051586,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.044295893532625856,executed,,d2_predictability_constrained_strong_encoder_logistic,0.1724137931034483,0.7241379310344828,0.7241379310344828,0.09443176349139086,0.6870258620689655,0.764698275862069,1.0,0.24812030075187988,1.2853111674784012,4.0,3.839540001216399,strong_encoder_state_observability,microsoft/deberta-v3-base,cached,cached_encoder_candidate,,deberta-v2,768.0,0.6935678403824568,/home/liush/.cache/huggingface/hub/models--microsoft--deberta-v3-base/snapshots/8ccc9b6f36199bec6961081d44eb72fb3f7353f3,logistic,local_transformer,768.0,3.415883292997023,19.415115144001902,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_logistic,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_logistic,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7517241379310344,0.7155172413793104,0.7862068965517242,0.7517241379310344,0.7197844827586207,0.7871120689655172,0.0,-0.07159482758620683,0.06642241379310343,0.14482758620689662,0.08530172413793102,0.1983620689655171,0.08448275862068966,0.08448275862068966,1.0,0.36842105263157887,0.36842105263157887,0.36842105263157887,0.9051724137931034,0.9296657488292581,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.029397315304495623,executed,,d2_predictability_constrained_strong_encoder_logistic,0.14482758620689656,0.7517241379310344,0.7517241379310344,0.059424703209526634,0.7197844827586207,0.7871120689655172,1.0,0.36842105263157887,1.5807161640568754,4.0,3.4931723971635162,strong_encoder_state_observability,sentence-transformers/all-MiniLM-L6-v2,cached,cached_encoder_candidate,BertModel,bert,384.0,0.08528908248990774,/home/liush/.cache/huggingface/hub/models--sentence-transformers--all-MiniLM-L6-v2/snapshots/1110a243fdf4706b3f48f1d95db1a4f5529b4d41,logistic,local_transformer,384.0,0.9822714549954981,1.6080474909977056,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_mlp,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_mlp,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7517241379310344,0.7137931034482758,0.7819396551724137,0.7448275862068966,0.7085344827586206,0.7784913793103448,0.006896551724137834,-0.064698275862069,0.07340517241379307,0.15172413793103445,0.0939224137931034,0.2096120689655172,0.08448275862068966,0.07758620689655182,0.9183673469387766,0.33834586466165445,0.36842105263157887,0.33834586466165445,0.8293103448275863,0.9514437894308747,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.12506050841583613,executed,,d2_predictability_constrained_strong_encoder_mlp,0.15172413793103448,0.7448275862068966,0.7448275862068966,0.056540966173249406,0.7085344827586206,0.7784913793103448,0.9183673469387766,0.33834586466165445,1.5800210213359305,4.0,3.8698644484600444,strong_encoder_state_observability,BAAI/bge-small-en-v1.5,cached,cached_encoder_candidate,BertModel,bert,384.0,0.3735622260719538,/home/liush/.cache/huggingface/hub/models--BAAI--bge-small-en-v1.5/snapshots/5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,mlp,local_transformer,384.0,4.044780568990973,0.22779632799210958,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_mlp,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_mlp,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7448275862068966,0.7120689655172414,0.7767672413793103,0.746551724137931,0.7137931034482758,0.7827586206896552,-0.0017241379310344307,-0.07068965517241377,0.06297413793103446,0.15000000000000002,0.08965517241379306,0.204353448275862,0.07758620689655182,0.07931034482758625,1.0222222222222215,0.34586466165413543,0.33834586466165445,0.34586466165413543,0.8689655172413793,0.9617964110378223,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.09524070766015305,executed,,d2_predictability_constrained_strong_encoder_mlp,0.15,0.746551724137931,0.746551724137931,0.05858469306635948,0.7137931034482758,0.7827586206896552,1.0222222222222215,0.34586466165413543,1.568868792011171,4.0,3.86893400444933,strong_encoder_state_observability,answerdotai/ModernBERT-base,cached,cached_encoder_candidate,ModernBertForMaskedLM,modernbert,768.0,0.5595299750566483,/home/liush/.cache/huggingface/hub/models--answerdotai--ModernBERT-base/snapshots/8949b909ec900327062f0ebf497f51aef5e6f0c8,mlp,local_transformer,768.0,3.9659385059931083,0.45554087300843094,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_mlp,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_mlp,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7448275862068966,0.7094396551724138,0.7793103448275862,0.753448275862069,0.7189655172413794,0.7888362068965517,-0.008620689655172376,-0.07939655172413784,0.06034482758620685,0.14310344827586208,0.08357758620689659,0.19918103448275848,0.07758620689655182,0.0862068965517242,1.1111111111111105,0.3759398496240603,0.33834586466165445,0.3759398496240603,0.8741379310344828,0.9503056243072949,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.07726854175157913,executed,,d2_predictability_constrained_strong_encoder_mlp,0.14310344827586208,0.753448275862069,0.753448275862069,0.0408119526148856,0.7189655172413794,0.7888362068965517,1.1111111111111105,0.3759398496240603,1.5600755423817243,4.0,3.832153821238998,strong_encoder_state_observability,intfloat/e5-small-v2,cached,cached_encoder_candidate,BertModel,bert,384.0,0.7480388842523098,/home/liush/.cache/huggingface/hub/models--intfloat--e5-small-v2/snapshots/ffb93f3bd4047442299a41ebb6fa998a38507c52,mlp,local_transformer,384.0,1.4744351819972508,0.19504830799996853,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_mlp,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_mlp,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7241379310344828,0.68875,0.7620689655172413,0.7155172413793104,0.6775862068965517,0.7560775862068965,0.008620689655172376,-0.0673275862068965,0.08448275862068966,0.18103448275862066,0.11633620689655177,0.24056034482758615,0.05689655172413799,0.048275862068965614,0.8484848484848493,0.21052631578947403,0.24812030075187988,0.21052631578947403,0.8206896551724138,0.9522420397847368,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.13239358171779256,executed,,d2_predictability_constrained_strong_encoder_mlp,0.1810344827586207,0.7155172413793104,0.7155172413793104,0.09983310498885918,0.6775862068965517,0.7560775862068965,0.8484848484848493,0.21052631578947403,1.2563486639316963,4.0,3.8649942507015553,strong_encoder_state_observability,microsoft/deberta-v3-base,cached,cached_encoder_candidate,,deberta-v2,768.0,0.6935678403824568,/home/liush/.cache/huggingface/hub/models--microsoft--deberta-v3-base/snapshots/8ccc9b6f36199bec6961081d44eb72fb3f7353f3,mlp,local_transformer,768.0,3.415883292997023,0.5759856020013103,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_predictability_constrained_strong_encoder_mlp,d2_predictability_constrained,d2_joint_oracle_labels,strong_encoder_mlp,16.0,3.0,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.7517241379310344,0.7180603448275862,0.7913793103448276,0.743103448275862,0.7077155172413793,0.7775862068965518,0.008620689655172376,-0.059525862068965596,0.08366379310344829,0.153448275862069,0.09482758620689646,0.21043103448275857,0.08448275862068966,0.07586206896551728,0.8979591836734698,0.330827067669173,0.36842105263157887,0.330827067669173,0.8396551724137931,0.9545646118516435,phase2_strong_encoder_state_predictor,strong encoder closes most of the state-observability gap but query-oracle gap may remain,0.11490943943785042,executed,,d2_predictability_constrained_strong_encoder_mlp,0.15344827586206897,0.743103448275862,0.743103448275862,0.06013886123466608,0.7077155172413793,0.7775862068965518,0.8979591836734698,0.330827067669173,1.5778448059173467,4.0,3.522089023924815,strong_encoder_state_observability,sentence-transformers/all-MiniLM-L6-v2,cached,cached_encoder_candidate,BertModel,bert,384.0,0.08528908248990774,/home/liush/.cache/huggingface/hub/models--sentence-transformers--all-MiniLM-L6-v2/snapshots/1110a243fdf4706b3f48f1d95db1a4f5529b4d41,mlp,local_transformer,384.0,0.9822714549954981,0.3352387990016723,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
llmrouterbench_pilot,d2_embedding_centroid_alpha_10,d2_predictability_constrained,d2_joint_oracle_labels,d2_embedding_centroid,16.0,10.0,phase1_embedding_centroid,not_run_in_m0,0.896551724137931,0.8741379310344828,0.9233189655172414,0.6672413793103448,0.6327586206896552,0.7034482758620689,0.743103448275862,0.7077155172413793,0.7802155172413793,0.7413793103448276,0.7103448275862069,0.7750431034482759,0.0017241379310344307,-0.0673275862068966,0.0698706896551724,0.15517241379310343,0.09909482758620691,0.21297413793103448,0.07586206896551728,0.07413793103448285,0.977272727272728,0.32330827067669204,0.330827067669173,0.323308270676692,0.9896551724137932,0.9673123457367908,phase1_existing_result_tables,route state is partly observable but still below the query-oracle frontier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_pilot,d2_logistic_label_predictor_alpha_10,d2_predictability_constrained,d2_joint_oracle_labels,d2_logistic_label_predictor,16.0,10.0,phase1_logistic_label_predictor,not_run_in_m0,0.896551724137931,0.8741379310344828,0.9233189655172414,0.6672413793103448,0.6327586206896552,0.7034482758620689,0.743103448275862,0.7077155172413793,0.7802155172413793,0.7448275862068966,0.7094396551724138,0.7775862068965518,-0.0017241379310345417,-0.06987068965517251,0.07077586206896547,0.15172413793103445,0.096551724137931,0.21387931034482754,0.07586206896551728,0.07758620689655182,1.0227272727272736,0.33834586466165445,0.330827067669173,0.3383458646616544,0.8672413793103448,0.8994387297765241,phase1_existing_result_tables,route state is partly observable but still below the query-oracle frontier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_pilot,flat_routecode_logistic_label_predictor,flat_routecode,flat_routecode_utility_oracle,flat_routecode_logistic_label_predictor,16.0,,phase1_logistic_label_predictor,not_run_in_m0,0.896551724137931,0.8741379310344828,0.9233189655172414,0.6672413793103448,0.6327586206896552,0.7034482758620689,0.8896551724137931,0.8637931034482759,0.9155172413793105,0.6137931034482759,0.5732327586206897,0.6491810344827585,0.27586206896551724,0.21461206896551732,0.3422844827586208,0.2827586206896552,0.22495689655172424,0.3500862068965517,0.22241379310344833,-0.053448275862068906,-0.24031007751937952,-0.23308270676691697,0.9699248120300752,-0.2330827067669169,,,phase1_existing_result_tables,query-to-state assignment is worse than best-single baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmrouterbench_pilot,flat_routecode_strong_encoder_centroid,flat_routecode,flat_routecode_utility_oracle,strong_encoder_centroid,16.0,,local_transformer,executed,0.896551724137931,0.8724137931034482,0.9181465517241378,0.6672413793103448,0.6275862068965518,0.7051724137931035,0.8896551724137931,0.8620689655172413,0.9137931034482759,0.6655172413793103,0.6301293103448276,0.7034482758620689,0.22413793103448276,0.1586206896551724,0.28366379310344836,0.2310344827586207,0.16896551724137931,0.2880172413793103,0.22241379310344833,-0.0017241379310344307,-0.007751937984495888,-0.007518796992480974,0.9699248120300752,-0.007518796992480974,0.14482758620689656,0.4939938974898872,phase2_strong_encoder_state_predictor,strong encoder state predictor remains below best-single baseline,0.3491663112829906,executed,,flat_routecode_strong_encoder_centroid,0.23103448275862068,0.6655172413793103,0.6655172413793103,0.06259176493391214,0.6301293103448276,0.7034482758620689,-0.007751937984495888,-0.007518796992480974,2.4154807276130157,4.0,3.5156604361456916,strong_encoder_state_observability,BAAI/bge-small-en-v1.5,cached,cached_encoder_candidate,BertModel,bert,384.0,0.3735622260719538,/home/liush/.cache/huggingface/hub/models--BAAI--bge-small-en-v1.5/snapshots/5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,centroid,local_transformer,384.0,4.044780568990973,0.023387155000818893,query_to_state_to_model,configs/llmrouterbench_pilot.yaml
