k,state_id,n_queries,train_queries,val_queries,test_queries,mean_query_to_centroid_cosine,top_benchmark,top_benchmark_frac,top_domain,top_domain_frac,mean_qwen4b_quality,qwen4b_success_rate,mean_local_valid_count,mean_local_missing_count,mean_local_unique_answer_count,mean_local_vote_frac,mean_local_vote_margin,mean_local_vote_entropy,mean_local_all_agree,mean_small_valid_count,mean_small_unique_answer_count,mean_medium_valid_count,mean_medium_unique_answer_count,mean_small_medium_agree,mean_small_medium_disagree,mean_q4_q8_agree,mean_q4_q14_agree,mean_q8_q14_agree,mean_q14_q32_agree,mean_q32_sc_agree,mean_sc_vote_frac,mean_sc_vote_margin,mean_sc_vote_entropy,mean_sc_all_samples_agree,mean_q4_lp_logprob_mean,mean_q4_lp_logprob_min,mean_q4_lp_logprob_margin_mean,mean_q4_lp_logprob_margin_min,mean_q4_lp_logprob_first_token_margin
24,u01,41,26,1,14,0.6093415118353027,bbh,0.5609756097560976,reasoning,0.5609756097560976,1.0,1.0,5.024390243902439,0.975609756097561,2.341463414634146,0.7146341463414635,0.4967479674796747,0.9543524807087851,0.0,2.0,2.0,2.0,1.146341463414634,1.0,0.0,0.0,1.0,0.0,0.8536585365853658,0.7560975609756098,0.8536585365853657,0.7479674796747967,0.3724677847815048,0.6829268292682927,-0.011487588989696013,-0.11961383281684504,2.8892911560160743,0.13414634073652873,1.789634128831472
24,u02,60,43,11,6,0.5896294085278535,bbh,0.2833333333333333,math,0.4,1.0,1.0,5.016666666666667,0.9833333333333333,1.15,0.97,0.9433333333333332,0.10707412097777008,0.8666666666666667,2.0,1.0,2.0,1.0166666666666666,0.9833333333333333,0.016666666666666666,1.0,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.8666666666666667,0.95,0.9111111111111111,0.12935673619524599,0.8833333333333333,-0.01159697269073781,-0.1635031153758367,5.213932285666003,0.19999999950329464,2.7437499886787697
24,u03,41,21,9,11,0.40872430544677996,mmlupro,0.5853658536585366,broad_knowledge,0.5853658536585366,0.024390243902439025,0.024390243902439025,5.0,1.0,2.3658536585365852,0.5902439024390245,0.25365853658536586,1.1198741311033555,0.0,2.0,1.3414634146341464,2.0,1.0,0.024390243902439025,0.975609756097561,0.6585365853658537,0.024390243902439025,0.04878048780487805,1.0,0.7073170731707317,0.926829268292683,0.8536585365853658,0.20157713430464405,0.7804878048780488,-0.06019712625795839,-0.5493505658899865,9.137957297673063,0.27439024353899605,7.112804876999354
24,u04,15,7,5,3,0.5370211746187562,gsm8k,0.5333333333333333,math_easy,0.5333333333333333,0.0,0.0,5.066666666666666,0.9333333333333333,3.4,0.4755555555555555,0.22444444444444445,1.590183832880982,0.0,2.0,2.0,2.0,1.7333333333333334,0.2,0.8,0.0,0.2,0.0,0.26666666666666666,0.4666666666666667,0.6888888888888888,0.4888888888888888,0.7547536115758562,0.4,-0.010997635904412247,-0.10433201293150583,2.396614583672622,0.15000000099341074,1.4583333161969985
24,u05,44,27,9,8,0.4863543437267491,mbpp,0.5227272727272727,code,0.7045454545454546,0.0,0.0,5.0227272727272725,0.9772727272727273,2.4318181818181817,0.5522727272727274,0.18939393939393936,1.17848026855087,0.0,2.0,1.3181818181818181,2.0,1.0,0.0,1.0,0.6818181818181818,0.0,0.0,1.0,0.6363636363636364,0.8787878787878788,0.7727272727272727,0.32248806841127703,0.6818181818181818,-0.026900687324074055,-0.19846224175258118,3.0342684582200703,0.1420454579320821,1.6335227223959443
24,u06,26,16,3,7,0.5151867923770033,mbpp,0.46153846153846156,code,0.6153846153846154,0.0,0.0,5.0,1.0,2.3461538461538463,0.5923076923076922,0.2538461538461539,1.1152189598559261,0.0,2.0,1.3076923076923077,2.0,1.0,0.0,1.0,0.6923076923076923,0.0,0.0,1.0,0.9615384615384616,0.9743589743589743,0.9615384615384616,0.06096009618158293,0.9615384615384616,-0.006155523808818993,-0.08065051757372342,1.927133407106477,0.15384615384615385,1.3750000154759685
24,u07,62,33,14,15,0.6101655242380668,humaneval,0.7258064516129032,code,0.8870967741935484,1.0,1.0,5.016129032258065,0.9838709677419355,1.1612903225806452,0.9677419354838709,0.9387096774193547,0.11526411860570271,0.8548387096774194,2.0,1.0,2.0,1.096774193548387,0.9354838709677419,0.06451612903225806,1.0,0.9354838709677419,0.9354838709677419,0.9032258064516129,0.9193548387096774,0.9731182795698924,0.9516129032258065,0.06999758069168749,0.9354838709677419,-0.005887228511791467,-0.051208306704798055,1.1473664287809033,0.0463709682226181,0.7479838647653502
24,u08,38,20,6,12,0.5891640815355645,math500,0.5263157894736842,math,0.7368421052631579,0.0,0.0,5.157894736842105,0.8421052631578947,4.078947368421052,0.39035087719298245,0.17982456140350878,1.8825865974869624,0.0,2.0,1.8157894736842106,2.0,1.7894736842105263,0.13157894736842105,0.868421052631579,0.18421052631578946,0.13157894736842105,0.07894736842105263,0.21052631578947367,0.18421052631578946,0.6491228070175437,0.39473684210526316,0.8937871716029875,0.23684210526315788,-0.02360158708807862,-0.28860740873374435,8.157586334262644,0.3684210534158506,3.25986842932901
24,u09,62,33,19,10,0.5433521723216411,livemathbench,0.41935483870967744,math,0.8709677419354839,0.04838709677419355,0.04838709677419355,5.596774193548387,0.4032258064516129,4.467741935483871,0.35430107526881716,0.14838709677419354,2.0053543272425163,0.03225806451612903,2.0,1.8064516129032258,2.0,1.8387096774193548,0.04838709677419355,0.9516129032258065,0.1935483870967742,0.04838709677419355,0.06451612903225806,0.16129032258064516,0.27419354838709675,0.5806451612903226,0.31182795698924737,1.0416364253127604,0.1935483870967742,-0.01670189560975395,-0.17255303215595982,3.7804624433315412,0.12298387144842456,1.6653225628379371
24,u10,34,20,6,8,0.554885045152079,gsm8k,0.7352941176470589,math_easy,0.7352941176470589,1.0,1.0,5.029411764705882,0.9705882352941176,3.3529411764705883,0.46764705882352936,0.20490196078431375,1.6124124277514875,0.0,2.0,1.0,2.0,1.8235294117647058,0.0,1.0,1.0,0.0,0.0,0.17647058823529413,0.23529411764705882,0.7058823529411765,0.4999999999999999,0.7436533092689495,0.38235294117647056,-0.012543748110604,-0.11398963191929985,2.5698529363777878,0.09558823529411764,1.1249999922318452
24,u11,23,16,3,4,0.48691015187845993,gpqa,0.5652173913043478,science,0.5652173913043478,0.043478260869565216,0.043478260869565216,5.0,1.0,3.347826086956522,0.45217391304347837,0.17391304347826086,1.6151088556252378,0.0,2.0,1.3478260869565217,2.0,2.0,0.043478260869565216,0.9565217391304348,0.6521739130434783,0.043478260869565216,0.13043478260869565,0.0,0.17391304347826086,0.7826086956521737,0.5942028985507247,0.5770077902626825,0.43478260869565216,-0.10760121133422394,-0.6825677324896273,8.043987751443575,0.19565216873003088,4.119565209142385
