mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,pool_family,pool_name,model_count,models,d2_alpha,d2_beta,train_best_single_model,train_oracle_gap,train_dominance_ratio,train_winner_entropy,test_best_single_model,test_oracle_gap,test_dominance_ratio,test_winner_entropy
0.7344827586206897,0.13275862068965516,0.7344827586206897,0.04140455613236268,kNN,,0.7015517241379311,0.7655172413793103,1.0,0.17204301075268846,1.725235532464184,0.0,,top,top_4,4,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1,,,GLM-Z1-9B-0414,0.16340621403912536,0.8365937859608745,0.863737613601771,GLM-Z1-9B-0414,0.16034482758620694,0.8396551724137931,0.8637861453723304
0.7362068965517241,0.1310344827586207,0.7362068965517241,0.04964634179297683,d2_embedding_centroid,4,0.7085344827586206,0.7787499999999998,1.062499999999998,0.18279569892473116,1.581869749481033,2.0,1.7223763881226968,top,top_4,4,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1,3.0,0.0,GLM-Z1-9B-0414,0.16340621403912536,0.8365937859608745,0.863737613601771,GLM-Z1-9B-0414,0.16034482758620694,0.8396551724137931,0.8637861453723304
0.7068965517241379,0.17586206896551723,0.7068965517241379,0.0,best_single,,0.6724137931034483,0.7440086206896551,0.0,0.0,0.0,0.0,,complementary,complementary_4,4,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B,,,GLM-Z1-9B-0414,0.18642117376294587,0.8135788262370541,0.9446705908124826,GLM-Z1-9B-0414,0.17586206896551726,0.8241379310344827,0.8844595423951079
0.7517241379310344,0.1310344827586207,0.7517241379310344,0.030474790523383397,kNN,,0.7224137931034482,0.7931034482758621,1.0,0.2549019607843136,1.726337478936645,0.0,,complementary,complementary_4,4,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B,,,GLM-Z1-9B-0414,0.18642117376294587,0.8135788262370541,0.9446705908124826,GLM-Z1-9B-0414,0.17586206896551726,0.8241379310344827,0.8844595423951079
0.7448275862068966,0.13793103448275862,0.7448275862068966,0.0966312060082264,d2_embedding_centroid,4,0.7154310344827586,0.7844827586206896,0.8461538461538483,0.21568627450980432,0.9159798091406801,2.0,1.745760318955436,complementary,complementary_4,4,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B,3.0,0.0,GLM-Z1-9B-0414,0.18642117376294587,0.8135788262370541,0.9446705908124826,GLM-Z1-9B-0414,0.17586206896551726,0.8241379310344827,0.8844595423951079
0.7068965517241379,0.08448275862068966,0.7068965517241379,0.0,best_single,,0.6687931034482759,0.7458189655172414,0.0,0.0,0.0,0.0,,dominated,dominated_4,4,GLM-Z1-9B-0414;OpenThinker3-7B;MiMo-7B-RL-0530;DeepSeek-R1-Distill-Qwen-7B,,,GLM-Z1-9B-0414,0.0926352128883774,0.9073647871116226,0.5917036230122851,GLM-Z1-9B-0414,0.08448275862068966,0.9155172413793103,0.5513303935716674
0.696551724137931,0.09482758620689655,0.696551724137931,0.01146208763121133,kNN,,0.6646120689655173,0.7414655172413792,0.0,-0.12244897959183698,0.8936590287236701,0.0,,dominated,dominated_4,4,GLM-Z1-9B-0414;OpenThinker3-7B;MiMo-7B-RL-0530;DeepSeek-R1-Distill-Qwen-7B,,,GLM-Z1-9B-0414,0.0926352128883774,0.9073647871116226,0.5917036230122851,GLM-Z1-9B-0414,0.08448275862068966,0.9155172413793103,0.5513303935716674
0.7068965517241379,0.08448275862068966,0.7068965517241379,0.0,d2_embedding_centroid,4,0.6775862068965517,0.7431896551724138,0.0,0.0,0.0,2.0,1.7936345691285402,dominated,dominated_4,4,GLM-Z1-9B-0414;OpenThinker3-7B;MiMo-7B-RL-0530;DeepSeek-R1-Distill-Qwen-7B,3.0,0.0,GLM-Z1-9B-0414,0.0926352128883774,0.9073647871116226,0.5917036230122851,GLM-Z1-9B-0414,0.08448275862068966,0.9155172413793103,0.5513303935716674
0.7068965517241379,0.2206896551724138,0.7068965517241379,0.0,best_single,,0.6766810344827586,0.7500862068965517,0.0,0.0,0.0,0.0,,top,top_8,8,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B;Intern-S1-mini,,,GLM-Z1-9B-0414,0.22036823935558103,0.7796317606444189,1.2648429786714712,GLM-Z1-9B-0414,0.2206896551724138,0.7793103448275862,1.2914304190081436
0.7517241379310344,0.17586206896551723,0.7517241379310344,0.050204961032557546,kNN,,0.7206896551724138,0.7872844827586206,1.0,0.20312499999999992,2.6449357445263963,0.0,,top,top_8,8,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B;Intern-S1-mini,,,GLM-Z1-9B-0414,0.22036823935558103,0.7796317606444189,1.2648429786714712,GLM-Z1-9B-0414,0.2206896551724138,0.7793103448275862,1.2914304190081436
0.75,0.17758620689655172,0.75,0.045298893527660755,d2_embedding_centroid,8,0.7215086206896552,0.7836637931034482,0.9615384615384627,0.19531250000000014,1.7700464273128382,3.0,2.377677253054304,top,top_8,8,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B;Intern-S1-mini,3.0,0.0,GLM-Z1-9B-0414,0.22036823935558103,0.7796317606444189,1.2648429786714712,GLM-Z1-9B-0414,0.2206896551724138,0.7793103448275862,1.2914304190081436
0.7068965517241379,0.22413793103448276,0.7068965517241379,0.0,best_single,,0.6775862068965517,0.7431896551724138,0.0,0.0,0.0,0.0,,complementary,complementary_8,8,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B;internlm3-8b-instruct;MiniCPM4.1-8B;gemma-2-9b-it;NVIDIA-Nemotron-Nano-9B-v2,,,GLM-Z1-9B-0414,0.23302646720368236,0.7669735327963176,1.289965809199543,GLM-Z1-9B-0414,0.22413793103448276,0.7758620689655172,1.2320458428330352
0.743103448275862,0.1879310344827586,0.743103448275862,0.026145074955640887,kNN,,0.7066379310344828,0.7844827586206896,1.0,0.1615384615384616,2.4534909984930664,0.0,,complementary,complementary_8,8,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B;internlm3-8b-instruct;MiniCPM4.1-8B;gemma-2-9b-it;NVIDIA-Nemotron-Nano-9B-v2,,,GLM-Z1-9B-0414,0.23302646720368236,0.7669735327963176,1.289965809199543,GLM-Z1-9B-0414,0.22413793103448276,0.7758620689655172,1.2320458428330352
